Date,Rating,Title,Review
Date of travel: March 2022,50,Delta Airlines,"The flight from ATL to LGA is typically a 2 hr flight; however,  due to inclimate weather, we circled LGA for :30 + minutes then we were diverted to SYR, where the weather was just as bad. The pilot had to abort the first landing attempt due to wind sheer. Then, on the second attempt, there was another wind sheer warning, but we had to land due to the fact that we were extremely low on fuel. Actually, the landing was quite smooth considering the turbulents we were encountering (the captain must have been a NAVY pilot). Currently, we are waiting for the plane to be refueled so we can head back to LGA and HOPEFULLY land this time. All in all, we've been on the plane (flying and on the ground) for 4+ hours. I must say that Delta has been very apologetic and accommodating, considering this was an act of God and no fault of their own. Delta Airlines is absolutely amazing. I would and will not ever fly with another airline."
Date of travel: March 2022,20,Poor communication on Travel Delays,"So my sister booked a flight for travel today,. The airline wouldn’t offer any updates for 2-3 hours on the flight status. When the did announce to my sister she texted me to say the 9:55 pm flight was now 12:15 but the agent was wrong by 15 minutes. When I CALLED to communicate with an agent the system said my hold time would be 8 hours 50 minutes if I wished to wait for the next agent. What a wonderful way to run a multi-million dollar business."
Date of travel: March 2022,10,Delta is Ridiculous!!,"Our flight was canceled unbeknownst to us. Attempted to get another flight;however, none was available for today. I tried to contact customer support at 9:00 and received a 3 hour wait. Delta did not call me back until 4:45. I told him the issue as we missed work and had to obtain a new hotel. He told me he would take care of the issue but needed to put me on hold. It’s 6:00, and I am still on hold! I have never had this issue with Southwest!!!!! Ridiculous customer service."
Date of travel: March 2022,10,Don’t fly Delta,"Rude staff, paid for first class accommodations was move back to economy and the party was not even able to sit together some in the front and some  in the back horrible experience last time flying with Delta."
Date of travel: March 2022,10,Customer service.,Staff in general was rude from the gate to the attendants.  Customer service not good.  Gate agent was attempting to help people and check people in at the same time.  Couldn’t do either well.  Attendants were rude when people were trying to be helpful.
Date of travel: March 2022,10,Worst Experience,"I don’t think this space allows for all that I could complain about so I’ll sum it up and we havens made it to our destination.For a recent trip delta failed on every aspect of traveling… check in, gate communication, boarding/de boarding, customer service, rebooking missed flight due to delta operations.Awful."
Date of travel: March 2022,10,terrible ground personnel - bad experience,"This was a connecting flight for us [coming from barcelona (BCN)] -- The flight from BCN was a little late but the connecting time we has was more than one hour and our gate was not too far. However CDG is a horrible airport for connections. The passport control took way too long and we arrived at the gate exactly 7mn before departure time (10:25am) -- This is *before* not after departure time.  The staff member at the gate was rude and told us that the gate was closed and the plane is gone.  ``it is our rule to close the gate 20mn before the flight"" -- but they knew we were on our way and that the other plane had landed 1t 9:00am.  I could see 3 of us in the same situation.  The other person had a long flight from India and started crying at the way she was treated by the ground personnel.  I know CGD tends to be like this - travelers are treated like cattle  really. But I expected a little better from Delta. Air-France re-booked our flight though Washington Dullles. But then when I boarded the plane in Dulles my boarding pass was rejected (my wife's was OK) - and then it took forever for the staff (at least 15mn) to fix the issue [I have not clue what the issue was - they did not care to tell me]. I was about the last to board the plane.In any case here are my recommendations and comments if you go through CDG:* Avoid CGD and choose Amsterdam Schiphol if at all possible [I missed at least 3 connections in the past couple of decades in CDG and *none* in AMS. If you you have a short connection in AMS due to a delay the ground personnel would have you skip the line. I was in this situation a couple of times and it helps. In Paris they tell you ``you will be fine"" and essentially shut you up.* If you really have to go through CGD you need to plan for  at least 3h lay-over. [This  is a rule I use myself - but this time I thought this being a  low-season 2.5 hours were enough. Mistake]* Expect rude treatment from personnel whether French ground personnel or Delta. Sorry but that is the way it is if you need to use CDG. I have  seen some improvements in the last 3 decades or so that I have been traveling overseas - but they are still far behind AMS."
Date of travel: March 2022,20,Flying used to be nice…not anymore,"Delta wants to know how they could have made my trip better😂😂😂Stop packing people in like sardines. You can barely breathe. I don’t believe they aren’t making money—they just want to make more money.Make flight attendants nice again. Those on the plane were not friendly (only smiled when you boarded and left), and only communicated to tell people what not to do.Very unpleasant. Rules can be communicated better. Entertainment did not work entire flight—flight attendants were very clear NOT to blame them for this. SMDHI paid for “comfort plus” but value for $$$ definitely not there…not even close."
Date of travel: February 2022,30,First class is just not the same as it used to be!,"My husband and I were looking forward recently to our first class flight to Dallas.  Like a lot of people we hadn't traveled in a year.  We understand the pandemic has been hard on everyone especially the air line industry.  Our first class flight was such a disappointment.  The seats are comfortable and there is a small bottle of water.  Ok, they don't serve pre-boarding drinks but they don't serve much else either.  My breakfast was a screwdriver and banana bread in a box all served at the same time. The flight attendant did ask if I wanted another drink and near the end of the flight let us choose a snack from the snack basket.  Lame.  I really don't want to make best friends with the flight attendants and I do find it difficult to hear on a plane and with our masks it is even more difficult but a little social interaction goes a long way.  For the price we paid for a first class ticket, yes, I expected more.On the positive side it was an on time smooth flight and our bags are the first to come out and so we were on our way.Our first class return flight to Boston was mostly the same.  Our dinner was a ""cold"" I mean almost frozen cold, turkey sandwich with a bag of chips.  At least my drink came before my ""dinner in a box"" and the flight attendant was gracious enough to offer me several drinks  which I enjoyed.I've read that Delta is now bringing back hot meals on their first class flights.  Let's hope they bring back some of the first class service too."
Date of travel: March 2022,10,The worst airline website,"I try to use my Delta mileage, after enter all the information and payment and click the Complete; then nothing happening.I thought the transaction didn't go through, I try again, nothing happen, the screen just hanging. I check my credit card right away, there were multiple same transactions from Delta .Then I tried buy with cash, after entered all the information, click complete , then nothing happen, hanging, hanging, hanging.This is the worst airline website; Delta is such huge airline , unfortunately , their website is the worst of worst that I ever experienced."
Date of travel: February 2022,10,Don't ask to speak to a human,"The flight/crew etc. decent. Whatever you do DO NOT do anything that will require an actual conversation with anyone! If you enjoy long, one sided conversations' with an AI customer assistant by all means cancel your flight and try to book another flight. You will spend hours (and destroy a manicure) typing messages back and forth and back and forth ad nauseum. Then is you are lucky a newly discovered human being will appear at some point to type more questions and answers. Are any of the humans able to speak? have a voice? just wondering.  Also-this must be a class based service only because look at all of the 'class of service' choices : ,Basic Economy, Economy, Premium Economy, Business and First Class: isn't eveyone on the same damn plane? How can there be 3 levels of Economy? is the Basic Economy in the toilet and you have to give up your seat each time someone needs to use the loo?"
Date of travel: March 2022,40,"ATL - PVD, The Final Leg","We ran into no issues during the final leg of our trip. Just like before, the plane was clean and in great condition, there was a great selection of TV shows, movies, music and games on the aircraft and the crew was helpful.We did have one issue where the flight attendants mentioned that you could pay for additional snacks and drinks using Apple Pay. When my mother-in-law went to pay for a drink and some wine with her Apple Pay, the flight attendant mentioned that she didn't know how to use that feature. It seems that if Delta is going to advertise Apple Pay (or other contactless payment systems), their staff should be well versed in how to use it.Overall, we were impressed with our Delta experience as a whole and will probably use them again when we fly to LA."
Date of travel: March 2022,40,"LAX - ATL, A Continuation of Great Service","On the way back from LA, we experienced the same great service as we did on the way there. Delta did a great job of boarding everyone, keeping the line moving and providing great comfort during the flight.The flight attendant in my area of the plane noticed that I was a little tight in my seat (middle seat, towards the back), so he moved me up to a window seat that had a bit extra legroom, this was greatly appreciated on my end!Overall, I was very impressed with Delta!"
Date of travel: March 2022,40,"ATL - LAX, Impressed with Delta","The second leg of our trip on Delta went just as smoothly as the first! We made it to the gate just as it was boarding, was able to find overhead storage with no issue and had all of the amenities as the first leg of the flight.On this leg however, I was not in an Exit Row and the legroom was tight. I am 6'2"" and found it to be a bit uncomfortable in the middle seat. I was glad that there was USB and AC power at my seat as well.The flight crew was very friendly and did a great job in handing out drinks and snacks. The lavatory was very clean and the plane seemed to be in great condition!"
Date of travel: March 2022,40,First time Flying Delta,"First time flying Delta, and I have to admit, I was very impressed. Boarding was easy and quick, the plane was nice and clean and there was a great selection of TV, movies, music and games in the seat back screen. There was also a USB port at each screen and outlets between each seat in front of you. I was in an Exit Row, so I had plenty of legroom, being 6'2"" tall.Our bags arrived at our final destination with no issues at all. We look forward to flying Delta in the future!"
Date of travel: March 2022,10,Outrageous customer service,"DL flight 1800 3/8/22 Over the years, our family has spent a fortune as loyal Delta customers. Tonight I was utterly devastated with the most horrible customer treatment ever. My wife is disabled and unable to walk for more than a few steps with help, and a came. Delta provided outstanding assistance in Jamaica, getting her on the plane and seated. We paid extra to accommodate her in the Comfort section of the aircraft, first on, first off etc. It is what we usually experience.When we arrived at the gate tonight, no wheel chair assistance was provided at the gate. My wife was told to sit and wait until all the passengers deplaned and then they would see if they could find her a wheel chair. She was told by the first class cabin gentleman flight attendant sit there or just walk up the jet way. I spoke with an extremely insensitive person who appeared to be in charge of the replacing process and he stood at the entrance of the jet way. He told me that they have no staff to help disabled customers. He started that anyone with disabilites just had to wait as the don't want to bring wheelchais down to meet the customers as it may hinder replacing. WHAT!!! I couldn't believe what I was hearing from this totally insensitive human being. He should be fired!!!After waiting until everyone got of the aircraft still no assistance. Just a whole lot of ridiculous rubbish from that gate agent.1, Hanicapped people have to go last. 2. We have no staff to Here help with wheelchair needy customers. 3. He started that a 95 year old person fell on the jetway recently due to busy conditions so we don't want to bring wheelchairs until all other customers have made an exit.We were not the only handicapped persons on that flight  that we're treated in this manner.Eventually I left my wife by the plane and went up the getaway in search of a wheelchair. I found one and returned to my wife. I wheeled her myself all the way through passport controll, baggage and customs as well as struggling with four bags all the way out to curbside to our transportation home.Delta YOU dropped the ball big time tonight. I'm so disappointed in the way your people treated us, and discriminated against customers with disabilaties. I'm just so disappointed, I can't believe the outrageous treatment.I hope that when you read these comments you address the short comings sooner than later. If you care to take the time to follow up feel free to call me at 7702315710"
Date of travel: March 2022,10,Customer Service,"Delta changes your flight then you can't talk or chat with them They are the WORST airline in the USAJust talk to me, don't disconnect me"
Date of travel: February 2022,10,DO NOT FLY WITH DELTA IF YOU WANT TO KEEP YOUR BAG,"On February 27, 2022, I traveled to Wilmington, North Carolina for a work trip with one checked luggage and two carry ons. I had a layover as I was traveling from PHL to ATL and then to ILM. I didn't know what I was in for! I arrived to Wilmington, North Carolina with only 2 out of 3 bags. When I was at the departure gate in PHL, the flight attendant informed me that my carry on luggage was not going to fit in the overhead bin and they were going to check it in as a courtesy. There was a family of three or four in front of me and they assumed I was with them and handed me over four different bag tags with her name ""Carissa Fleming"" meanwhile my name is Alejandrie Oviedo. I didn't realize this until i arrived in ILM and realized my bag was missing. I am confused as to why my name and my final destination was not verified to ensure this was being handled properly. As soon as I noticed, I filed a claim the same day and was informed that I would get my bag by 11PM. Bing that I had four baggage tags they were unsure which one was mine and so they just filed the claim under the first bag tagThe following day comes and I have yet to receive my bag so I contact baggage claim where they inform me that it was delivered to Nassau Bahamas baggage claim one and the next flight arriving to ILM will be for the following day. The following day came and still no bag so I went to the airport where they were unable to help me even after speaking to a supervisor. I spoke to about four people in baggage claim over the phone who reassured me that Bahamas have my bag and they will be sending it, but I still have not received it. I literally contacted delta daily and went to the airport daily in efforts to get my bag and I still have not received my bag. I have spoken to so many delta reps who have not been reassuring and this is my first time flying with Delta. I googled Delta to learn more about your baggage policies only to find out that you guys are ranked top 5 to lose people's luggages so of course I became more worried. I spoke to someone on 3/7/21 and this was the first time I was informed to file a loss bag claim when I should have been notified about this days ago. I am confused as to how it went from, ""I have your bag it's in the Bahamas, to we are going to deliver it tomorrow, to I spoke to a nice lady who said she was going to walk it over to customs to send to ILM, to we don't have your bag"" Delta is employing people who are stealing peoples luggages and this is insane. If you guys are known to lose luggages more diligent protective measures need to be put in place to ensure that people do not lose personal belongings. It is so unfair that this has caused my trip to be an inconvenience, no one in Delta cares and no one is on the same page, I am not receiving any updates or helpful information about my bag. I asked for the corporate office number and they were unable to provide me with that. I have things in my carry on luggage that money cannot buy, I have things that I have had for years that hold value to me, I have my home keys and my car keys which is going to make it harder for me when I return home. It is sad that because you guys are so used to losing people's bag that you don't care enough to take more steps to find lost luggages. You guys made a huge error and have not fixed it and so because of this experience I will not feel comfortable flying with you guys again. I am super sad, frustrated, annoyed, and I want to make sure no one else has to go through this. This is not how a business should be operating it is super illegal that you have people in Delta stealing luggages. I am unable to refuse that you guys made a huge error like this and in the process lost my bag. I JUST WANT MY BAG! YOU GUYS NEED TO DO BETTER"
Date of travel: March 2022,10,Delta does not stay true to what it says,Very disappointed with Delta. I had to cancel my flight due to a tragic situation. I contacted Delta who told me that they would cancel the reservation and I would be given Ecredit. When I checked my email I noticed the reservation had been canceled and I was NOT credited for $ 922 even though I was told (I saved the chat with the agent) that I would be credited for the entire flight $ 1391.54.I cannot comprehend how a company as massive as Delta would lie to its customers.Very very very disappointing.
Date of travel: March 2022,40,Good flight from Atlanta to West Palm Beach,"Not Delta's fault but my own but I won't be flying basic economy again.  Normally I don't fly basic economy but because of such a short flight I did it this time.  ""mistake""Sat in the back of the bus and took awhile to get off the plane.  The flight was on time and even landed a little early.  Love Delta and use them a lot.  Friendly cabin staff.  Having to get on the plane at the end of the boarding due to being main 2 was not fun but not a big deal.  I had room for my carry on bag.  Boxed in by dozens of Spring Breakers...."
Date of travel: March 2022,50,Great flight from Augusta Georgia to Atlanta,First time flying out of Augusta Georgia airport in years and was surprised at how small it still is.  No reason to get to the airport more than one hour ahead of time.  Friendly folks there.  The flight with Delta to Atlanta was on time and arrived early.  Friendly crew and no issues.  Small plane but still had room for my carry on bag.
Date of travel: March 2022,50,Great flight from Palm Beach to Atlanta,Had a great flight from West Palm Beach to Atlanta.  Got to the airport early and with TSA precheck got to the gate quickly.  The plane started boarding earlier then expected and took off on time.  Got to Atlanta early.  Rarely fly economy but with the short one hour and 30 minute flight I could not bring myself to pay more.  Flight crew were very nice and except for having to wear the stupid masks it was a good trip.
Date of travel: March 2022,10,DELTA SUCKS!!!,"So I'm traveling from Denver to Tallahassee tonight for work in Neurosurgery to be there for a surgical case at 700am tomorrow.  My flight into ATL was delayed an hour from Denver and I arrived 15 minutes before departure time of my connection into TLH. There were several of us on the plane trying to make that connection. I asked the gate agent as we deplaned to call our gate and let them know we were coming, which he did. We made it to the gate 5 minutes before the scheduled departure time, and they'd already closed the door, even tho we could have easily boarded the plane with time to spare and there were LOTS of seats available on the flight.  So, I'm left having to rent a car at midnight to make the 5 hour drive to Tallahassee.  A true example of careless, thoughtless, short-sighted business practices by Delta.  #deltasucks"
Date of travel: March 2022,10,Delay after delay! They don't care!,"At least three or more delays from horrible Delta trying to get home! No reason, just more delays! Have flown 50 years and this is the worst experience ever!Hollow, meaningless responses in texts and emails. As long as they have your money, they do not care about your time! I will fly any other airline from now on!"
Date of travel: March 2022,10,Delta cut my daughters visit with grandma tofrom 5 to 2 days!,"They sold her seat and told her she had to come home 3 days early. Then they had the nerve to charge her $100 for an oversized bag for her 2 day visit. (4 flights getting to and from) This airline is worse than the low budget cheap carriers. Fly frontier at least getting ripped off will be cheaper. Greedy, rude, short-sighted. I've called numerous times. Was on hold for over an hour and a half one day. The worst!!! Horrible management and zero ethics or decency."
Date of travel: January 2022,10,Really Poor customer service,I've always flown delta and usually they have been good at responding when things go wrong.I had a terrible experience this year where I was stranded for 4 days in phoenix with my family. Each day they cancelled our rebooked flights.I missed a week of work and my kids missed school and I had to pay for an extra 4 nights of hotel accommodations and taxis.I complained to Delta and they offered me $50 worth of skymiles. The delay cost me over $2000 dollars.Since then i've called customer service but they won't answer the phone or respond to subsequent tickets.Best to fly with Alaska.
Date of travel: March 2022,10,Dont fly Delta,delta airlines left a group of us stranded in Chile. Our flight was delayed 45 minutes. So by the time we made it to chile from atlanta we were to late for our connection flight. Delta let us set in the airport for two days before were able to fly back to seattle wa. They would not work with us at all about getting our last flight to argentina. They expected us to set and wait tell 10pm the next day to maybe be able to fly on a plane that was fully booked. when we asked anout just letting us set in first class since they had empty seats they expected us to pay for them. Not maybe we messed up and just let people sit were we have empty seats. No we got attitude when we asked and were told we didnt pay for firat class.  I will talk terrible the rest of my life about delta
Date of travel: March 2022,10,Delta Disrespects Passengers,"Beware Delta arbitrarily charging your seat assignment without warning from an aisle up front to a middle way back even if you are a Gold traveling with a Diamond. Oh, and dare complain about it and the gate agent thugs get loud and become smug and dismissive (because they are all powerful). Fortunately, even out of Atlanta I am beginning to find alternative airlines. Advice - if you can’t travel another airline, carefully monitor your seat assignment because these gate agents couldn’t care less about you and will do as they wish (but if you notice you can at least cause a stink and see if they will choose to offend another passenger instead). Disgusting service lately."
Date of travel: March 2022,10,bad experience on Delta,"They downgraded my flight like nothing happened, you can read this message between me and delta. That’s terrible."
Date of travel: February 2022,50,Attentive service and excellent food on Delta One,"All of our flights were on time.  The price we paid for Delta One was similar to what we would pay with another airline once you add baggage and seat selection costs.  We had an excellent Steward named Frank on our flight to LA.  He checked on us often.   He made sure we well watered and fed.   The flight home was a red-eye so the flight attendants let us sleep.  The food was good especially on the LA to Boston flight.   I usually don’t have much of an appetite when I fly but I ate the entire meal.  The salad had a variety of vegetables in it which tasted like they came from the Farmers Market.  Fennel was the side for my meal, which I love.  The chocolate mint cake was delicious.   The airports were extremely busy, so having lounge access was a plus."
Date of travel: February 2022,10,Delta/Air France connection nightmare,"There was only a 55 minutes connection between   Delta 82  and  Air  France   AF 962   I  asked about the  55 minutes and was told that was sufficient  time for the  connection. My wife and  I attempted to get to  the AF 962 connection as quickly  as  possible. When we got  there the Air France plane was still there. We watched another family get on and the plane took off.   I  was  told  Air France  planes closes its  door 15 minutes before  take off.  Additionally we could  not  go from the  Delta  terminal to the Air  France terminal without going through security  at the General De Gaulle  airport.   This  took time. No one informed  us of this. We were rerouted to Amsterdam and finally a flight by KLM to Israel .  We were in the Amsterdam  airport for about  7 hours.  We arrived  in Israel 3am  in the  morning,   We lost 12 hours in travel time.  We  missed the first day of our  tour."
Date of travel: March 2022,10,Zero customer service skills and unjust,I called to cancel half my flight which was round trip. I repeatedly told them I wanted only the going (one way) part of my trip canceled. Never once did I tell them to cancel my whole trip. Later we get disconnected and and 2-3 hours later after class I noticed my entire trip was canceled. Those basters realized it would be better to cancel my spring break flight and resell it for 600$.when I called to ask why they canceled my whole trip they said they are sorry but can only offer me to rebook the same flight for 3 x the price I paid.Delta crossed me and that company can go to hell.I’m no longer using my delta sky miles gold card! ….stay away these people got arrogant af … even though they made the mistake
Date of travel: March 2022,10,Bait and Switch,"PAID ADDITIONAL FEE FOR COMFORT CLASS.  DELTA DECIDED TO MOVE OUR SEATS TO ECONOMY AND COMFORT CLASS IS ONLY FOR MONEY PAYING PASSENGERS.  NOT FOR PASSENGERS THAT PURCHASED SEATS WITH DELTA SKYMILE POINTS.I'm writing this email to inform you that I am extremely disappointed for my upcoming trip for the following confirmation #'s - G8VELD, G8YYNZ & G765E8.  We are travelling as 3 adults, 2 children and an 8-month older toddler.Our return flight home from CUN to JFK was originally scheduled at 4:28pm departure.  When booking our trip, we paid additional fees to upgrade our seats to Delta Comfort Class - Seats 11 A, B, C, D & F.  Unfortunately, the flight was cancelled so Delta changed our reservations to the 3:05pm flight, which is fine.  Upon the scheduling change we were place in Comfort class, and we were provided seats 11 D, E, F &   13 D & C.  Earlier this week we were notified that Delta decided to take REMOVE us from the 3:05pm flight and reassign conf. # G8VELD and G765E8 to a connecting flight from Cancun to Minnesota to JFK (2 ADULTS).  Then the remaining passengers on conf. # G8YYNZ (1 ADULT, 2 KIDS and a TODDLER) from Cancun to Atlanta to JFK.When calling Delta support, we were told the original 3:05 PM flight was NOT CANCELLED but we were REMOVED off the flight because the comfort class seats were only for money paying passengers and NOT AVAILABLE FOR PASSENGERS THAT purchased with Delta Sky Miles.  We were able to get back onto the 3:05pm flight but were assigned seats 33 A, B, C, D and E.  This is not what I call good customer service and I’m beyond frustrated and disappointed.This is the dumbest policy I have ever heard of and will probably never fly Delta ever again.  I will share this experience with everyone I know.Thanks for ruining a trip we’ve been looking forward to since March 2020 (originally planned but cancelled due to COVID.  PLEASE LET ME KNOW WHEN I WILL RECEIVE A CREDIT/REFUND FOR THE ADDITIONAL FEE’S WE PAID TO UPGRADE OUR SEATS."
Date of travel: February 2022,10,No help for wheelchair,Delta you suck! Do not offer wheel chair service when there is nobody there to offer a 82 year old woman who does not speak English help. Thank God I was able to travel with her and I had to push her wheel chair with our luggage from the international terminal to customs and its a long walk. Shame on you Delta
Date of travel: February 2022,10,Overall a poor experience,"For starters. On our first flight. The attendant, named Clifton, decided he was gonna continuously bump me as he walked by. I was trying to not get bumped, and he was still doing it. Mind you, I’m not overweight or overly large by any means. He seemed rude and offered zero apology even though I was clearly attempting to stay out of the aisle. After that, my bag was left in New York, it took delta 18 hours to get it back to me. In those 18 hours no one bothered to reach out. I had to call and was given a tracking number. The flying part wasn’t bad, so obviously the captains get two thumbs up. Service crew and other aspects were a crapshoot. Feels like no one cared.  First time flying delta and to reconcile our problems, we were offered gift cards or flight vouchers. Won’t be rendering service from them again anytime soon."
Date of travel: March 2022,10,Literally thieves,"We purchased a flight in 2020 at around $700/800 and because of COVID it was cancelled. They refused to give our money back even though we really needed it during the pandemic and instead they want  us to purchase new tickets... which all cost a minimum of 1300 now. How is that fair? I cannot afford that, I have to pay almost twice as much now. This should be illegal. I am never flying with them again, what a bunch of thieves. I was warned not to chose delta and I should have listened, I hope you learn from my mistake."
Date of travel: March 2022,10,Delta is Awful,"I flew my daughter to visit her grandmother for the first time in 4 years and Delta decided to cut her trip short from 5 days to 2 days with only 24 hours notice. Since the flight she was originally booked on was sold out. I suspect the sold her seat to someone else for mor money. If you don't care about your plans being changed for your business or pleasure and have zero value for your time, then Delta is fine. They actually had the nerve to charge her an additional $100 for baggage check on her return flight of her 2 DSY ViSIT that was supposed to be 6!! I will NEVER use this carrier again"
Date of travel: February 2022,10,From Puerto Rico to JFK they brought *all* baggage to the International Terminal,"We arrived in JFK on Feb 19 2022 with DL1853 and hat to wait almost 2 hours for our baggage until midnight. No representative was around after 11pm. They brought all (!!) checked baggage to the international terminal and then bring it back to the domestic terminal by hand (!!) with one (!) cart. Sorry, but that is awkward. We might expect this from one of the cheaper airlines, but not from Delta.Our kids were so tiered that they slept on the floor"
Date of travel: March 2022,10,Worst experience ever,They are very unresponsive. Need to wait 1 hour to chat over the phone. Worst customer service Ive ever experienced. Not going to use Delta any more
