Date,Rating,Title,Review
1st December 2021,1,"""No one was accountable""","✅ Trip Verified |  My Son and I had a 4 hour layover, found our gate and parked it right there. We spent much of the 4 hours chatting with the ""nice"" lady behind the counter and when it came close to the time we thought we should get a seat assignment to Charleston, she stated she needed to board a flight to PA and then she would get us our seat assignments. She boarded the first flight and then left. Another agent came up and we asked him if we could get the seat assignment and he stated that the gate changed 15 minutes prior. We ran to the gate (which was about 4 up from where we were) and they closed the doors and we ""missed"" the flight. We then needed to find another flight but I was hot. No one was accountable just repeatedly stating that we need to watch the monitors as it was our responsibility. Yes. I 100% agree if I hadn't been in almost constant communication with the lady who stated she would be the one to help. Everyone I talked to was rude and lacked any kind of empathy or accountability. If one more person stated that ""We change gates all the time, you need to watch the monitors"" I thought my head would explode. Whatever happened to common courtesy, or better yet, common sense? Why would I stare at a screen if the lady behind the desk stated she was the one to check us in? We lost an entire day of work and the expense was huge. Thank goodness for that free drink voucher."
18th November 2021,3,"""The lines were very very long""","✅ Trip Verified | What happened to this airport? I used to rave about this before, being one of my most favorites in the world. I travel extensively and I always prefer ATL as my port of entry. But I think after the bad experience I had today, I will be looking for another POE. The Immigration had a very long line. But I breezed through that line in less than 10 minutes. Luggage claim and rechecked no problem. After recheck, passengers were about to go through security when we were all redirected to the TSA line upstairs. This was where the mess all started. The lines were very very long, and were hardly moving. There were a few times when the lines just stopped. The smart move would have been to open more metal detectors to get the lines moving, instead the TSA officers were just standing around. They only had three conveyors/detectors opened. Why? This airport was so much better than this. Today was a major disappointment. As a result, I missed my connecting flight to Orlando. And vowed to never fly into this airport again if I could help it."
18th October 2021,8,"""Worst lost and found experience I ever had""","✅ Trip Verified | Worst lost and found experience I ever had, my phone tracker said the phone was in the lost and found and they are saying they cant find it. Also second lost and found but no way of contacting them or to go about reporting my item lost, I was just told to check the other one, why have two separate lost and founds in one airport with separate numbers and ways of reporting. They don't talk to each other and when you report it the site doesn't tell you which lost and found to contact."
10th October 2021,2,"""hope many others boycott the vendors""",✅ Trip Verified |  Most vendors no longer accept cash in this airport. Debit or credit card or no food or drink. How discriminating - some people including kids do not have a card. What happened to the dollar being legal tender? I will not buy anything in this airport! I hope many others boycott the vendors so they can go out of business.
8th October 2021,1,"""watched all aspects of the airport decline""","✅ Trip Verified |  I’ve traveled in and out of the ATL airport for the past 30 years and have watched all aspects of the airport decline. It appears that airport leadership is asleep on the job. Airport Parking is typically unavailable, construction seems to be never ending, flow of people inside & outside is mired in chaos, security is inept, food venues are sketchy and to top it all off - the unprofessional customer service attitudes reflects a growing personnel issue that seems to indicate poor training, poor work ethic, and a bizarre entitlement mentality. If you have a choice - find yourself a different airport - even if it means more connections. If leadership is actually reading my very modest review, pleaase turn this airport around and stop its death spiral."
29th September 2021,2,"""the rudest and most unprofessional agents I have ever encountered""",✅ Trip Verified | I have traveled to most every domestic airport in North America and Atlanta Hartsfield TSA employees are hands down the rudest and most unprofessional agents I have ever encountered unlike most other airports who are very professional and courteous.
27th September 2021,1,"""The TSA were completely and unnecessarily rude to my dad""","✅ Trip Verified | Currently holding a temporary residence here at Robins AFB, Georgia. My father drove my car down so that I would have transport to leave base, however, we wanted to fly him back home. I flew in to Atlanta and had just a few issues with my arrival into this airport so I figured it wouldn’t be awful if I booked a flight for my father to fly out of there. I cannot begin to describe how awful the experience was for my dad and I. The TSA were completely and unnecessarily rude to my dad who is easily confused and older, acted as if he had COVID or was diseased. The TSA agent literally looked as if she was about to draw a weapon on my dad because he was six feet away from her? Additionally the representative at the Delta check-in desk who is posted there to help guests pre-check for their tickets was also so awfully rude. Asked again, another simple question and she acted as if we were burden to ask her anything instead of just letting her stand there and ruin her uneventful day. Normally at my hometown airport, they usually let my dad come into the terminal with me to say goodbye as any day I could get orders to deploy and won’t have a chance to say goodbye before I go. But at this airport, I felt as though they were snatching him away from me and I was afraid he wasn’t going to make his flight because it is an extremely large airport and he is older and just overwhelmed easily. Thankfully and barely, he made it to his gate. He then told me that he was just extremely disappointed because the associates at the counter by the terminal were rude over the intercom every time they used it and just rude to other guests that went up to the counter. It made him so uncomfortable with the entire experience that he never wants to fly out of the airport again and would love it if I never did either. It made him so upset that he ended up crying part of his flight home. He’s concerned that somethings going to happen to me on deployment and he would’ve never gotten to have said goodbye. Simple things like this go a long way for paying customers. Having this experience, I think I will follow my dads advice and fly out from Savannah or another airport the next chance I actually get to fly home."
20th September 2021,8,"""be prepared for a long walk and a long wait/standing""","Not Verified |  Arrived Atlanta from Puerto Vallarta, Mexico. Be prepared for a long walk from the gate to Passport Control. The line to have your passport checked was long and took approximately 90 minutes. However, the line moved relatively fast considering there were at least 500 to 1,000 passengers waiting to be processed. I would say it was fairly well organized as they had people directing passengers to the booths. Not a bad experience. Just be prepared for a long walk and a long wait/standing. Here is my major complaint about this airport if you are arriving on an international flight. If your final destination is Atlanta and you wish to catch a ride share, MARTA or a hotel van, passengers are required to ride a small shuttle bus to Ground Transportation which takes 20 minutes. We had two heavy suitcases which had to be lifted into the bus. As we are over 65, it was difficult. Getting passengers from the international terminal to ground transportation in the main terminal is very inefficient and inconvenient."
17th September 2021,7,"""There were no shortages of shopping or eating options""",✅ Trip Verified | Transferred through ATL on 9/06/2021. This place is immense! There were no shortages of shopping or eating options. There were plenty of seats at the gates. The announcements were timely and clear. Lots of monitors around to check where your flight is departing from.The restrooms were reasonably clean. The train that runs between concourses is extremely handy as well. Can't comment on anything curbside as I was only transiting through.
13th September 2021,2,"""What are the people that run ATL thinking?""","Not Verified |  At about dinner time on a Sunday in Terminal C, about half of the eateries were closed! Trying to get something to eat just added more stress to an inherently stressful situation. What are the people that run ATL thinking? I guess they're thinking they have no competition, which is more-or-less true. I hate ATL."
6th September 2021,4,"""there is just no reason to blast the concourse with loud, undesirable sound""","✅ Trip Verified | For some reason, the airport has elected to play silly TV shows that no one is watching playing on a few screens at an incredibly loud level, like in a movie theater. Quiet is preferable and there is just no reason to blast the concourse with loud, undesirable sound that otherwise causes one to reach for earplugs or noise reduction headsets. Perhaps if the same loud obnoxious noise was pumped into the airport management offices there would be a change. There is no purpose to this noise pollution. Stop the insanity."
31st August 2021,2,"""Security was a nightmare""",Not Verified |  We were trying to evacuate Hurricane Ida. We had a group of 40 people. We were finally able to get a bus to take us to Atlanta. With the long traffic we were on the bus for 14 hours with no sleep. Arrived 4am to the airport. Security was a nightmare. Not because it was backed up but mostly because it was very confusing. Especially on 20 hours with no sleep. The woman at the security area where we were putting our things on the conveyor was literally screaming at me. I was confused and tired as she continued to scream and belittle me. Had she just explained calmly I would have understood what she was saying. Once I got through my feet were filthy with dirt and crud all over the floor. I had 3 elderly people in our group in wheelchairs. 2 of them were helped to the gate by employees. We still had one with us. Getting on the Tram was tricky. The Tram throws you around so badly that we were trying to hold the chair and ourselves. A lady had her baby trying to get her in a stroller. The baby didn't want in the stroller so she was trying to hold her and the stroller as it was rolling around. I grabbed the stroller as she tried to hold on to the baby. We found our gate around 6 am. There are many restaurants in the airport but none of them open. Once a Dunkin Donuts opened the line was all the way down the corridor.
29th August 2021,3,"""security checkpoint is dysfunctional""","Not Verified |  This airport has the most unhelpful, disrespectful TSA of any I have ever been to. The security checkpoint is dysfunctional compared to other airports. They have a lot of work to do for being one of the busiest airports in the nation. Traffic is always bad."
10th August 2021,2,"""this is one of the worst I’ve come across""","✅ Trip Verified | For a large airport, this is one of the worst I’ve come across. The gates are filthy, the information is lacking, and the online resources are lacking. We had a four hour layover so had plenty of time to find amenities, but had to search for a map or info. The one bright spot was a meal at One Flew South, a unique menu well prepared, but we barely got there before their kitchen closed at 6.30 pm. The public WiFi is pathetic. While writing this review, sitting in terminal D, I have had to reconnect a half-dozen times. And there are no visible charging stations. Another problem here is the attitude of public who are evidently, we were told, protesting having to wear masks in the airport. Can’t tell you how many people — including flight crew members — we saw walking the terminals with their masks under their noses or completely off. This may be something common in the area, but since mask wearing is a requirement of all airports — and other airports have signage about how to wear a mask — it would seem there is something Atlanta Hartsfield could make a better effort to keep their passengers safe. Clean it up, Atlanta!"
2nd August 2021,2,"""One of dirtiest Airports I have ever seen""",Not Verified |  One of dirtiest Airports I have ever seen. It looks like it's been weeks since the last time it was vacuumed. Restrooms are dirty. Dirty seats. The restaurant we ate in had torn seats. The Delta customer service we talked to looked annoyed that we were there. No charging stations in a lot of seats.
1st August 2021,3,"""TSA was chaotic""","Not Verified |  Flying back into the United States on Delta, I had 95 minutes to catch my connecting flight. US Customs ran efficiently, but TSA was chaotic. Needless to say, I missed my flight by 5 minutes."
26th July 2021,4,"""This airport is badly designed""","✅ Trip Verified | This is probably the worst airport I have been through. And I once worked at JFK with its many terminals. I had to transit through this airport from Costa Rica to catch a domestic flight to JFK NYC. There are no restrooms in the immediate area. The plane I came off had one aisle. And the flight attendants spent a good deal of time using the aisle to serve snacks. So it's not always convenient to use the restroom on the aircraft. Common sense you would think they would place restrooms near where the gate is where we got off the plane. Then it's not like you can just walk to the CBP area. We had to stand there for as much as 15 minutes and more at least twice before being allowed to proceed to the long line to present our passports. Walking from the gate to the CBP seems like 1/4 of a mile. There were hundreds of people on the line. There is a restroom in that area but with such a long line and a connecting flight less than two hours of my arrival I did not want to chance using it then getting on line. The saving grace was that the customs officer did not take long with my passport. He basically looked at my photo, asked me to remove my mask then asked me if I am who it says I am. Then I was on my way. It took over one hour to exit the CBP line. Someone took my luggage and put it on the belt to be sent to my JFK NYC flight. As soon as we walked out of that area we all had to go through security as if we had just walked off the street. I overheard one of the TSA agents telling someone that until you reach age 75 you have to remove your shoes. Well around where I live I see people who could barely get on the bus without the driver lowering the stairs. And many of these people are not even 50 years old. After going through security I checked the board but could not find my flight listed. I asked a lady at information desk. She told me I had to take the shuttle train on the right hand side one stop to area E. And go to E11. I went to E11. No such flight. I went to the Delta counter I saw when I came to area E. The lady told me I had to go to E 31 and the flight is about to leave so I had to hurry. I was the last person to get on the plane when I heard them say they were about to close the door. A gate agent came with me. She said there was no more room for my carry-on so I had to check it but not before I removed my laptop and camera which most likely would be stolen. My advice is avoid this airport if you're connecting from an international flight. Connecting domestic to international was not an issue when I was leaving. Unless you got four hours between international arrival and your departure connection don't risk it. And putting a restroom all the way in the customs area serves no purpose because most people need to use the restroom as soon as they exit the plane. This airport is badly designed. When I was leaving for Costa Rica I arrived after 8 am on a weekday morning and none of the restaurants were open. Not even a place to serve coffee. It's as if the airport was designed for the convenience of airport staff and not its passengers!"
16th July 2021,1,"""no places to eat""",✅ Trip Verified | Flight was delayed an 1-1/2 hrs. That wasn’t too bad of an issue. The issue was no places to eat. The few places that were open had line 30-40 people deep. At 10.40 am there was a place that made breakfast wraps but they weren’t open until 11.00 am?? But yet there was a pizza place that was open. Makes no sense. Literally in the concourse we were in there were only 4 out of 15 restaurants open and ready to serve at 10:40. The food service options are not worth a hoot.
13th July 2021,1,"""Bathrooms were awful!""",Not Verified |  Nasty airport. Everything closed. Arrived in at 1 am and nothing open and even vending machines empty. Bathrooms were awful! Waiting areas were nasty. No places to eat open but a few and 50 deep in line. Worse airport ever! Workers for Delta were nice but told us wrong information .
1st July 2021,1,"""I don't think it could be any worse""","✅ Trip Verified |  I don't think it could be any worse. Restrooms were disgusting (every stall was unflushed/dirty), 1/3 of the restaurants/snack providers closed, long lines to get into the ones that are open, 10 deep line to check out at a magazine/candy store, wifi doesn't work at all, NONE of the plugs at the seats work, about 1/2 of the ones on the walls work and the tram to get to/from the main area was so crowded you couldn't breathe. I got off ASAP and walked from C to baggage. I fly regularly for work. This is the worst I have experienced. It has not always been this bad."
10th June 2021,1,"""never fly out of this airport again""","Not Verified |  My husband and I are both senior citizens, My husband is significantly disabled and was in a wheel chair, unable to stand without help. We have only flown about 2 times in the last 10 years. The TSA agents just kept yelling at us. I asked them what to do and they just kept screaming the same things over and over, then stated ""its been this way for 90 years, whats wrong with you"" I was not familiar with removing my ipad from the case, they just stood there and screamed. They wouldnt let anyone help my husband stand up they just kept screaming at us. I have never been treated so badly, the TSA agents were like a wild band of gangsters. I will never fly out of this  airport again."
10th June 2021,1,"""Atlanta Airport is a mess""","✅ Trip Verified |  There are signs everywhere “we are open”. Three weeks ago there were NO restaurants OIE. On terminal F on departure. On return today there were no restaurants except Burger King open in the terminal so I did t have anything to eat waiting on shuttle to Athens z, Ga. also, I arrived in International. Immigration and customs took 2 minutes. Luggage more Than 45. Waiting for the shuttle to the domestic terminal made me miss shuttle to Athens. And there were 45 people waiting for about 20 seats. I have no idea what the others did. They were told a shuttle would come again in a half hour. The Atlanta Airport is a mess. All international airports I went through on my travel were operational and efficient. Atlanta airport sucks. Maybe it should be taken over by the state. Avoid it if you can."
7th June 2021,1,"""No one wants to help""","Not Verified |  Worst airport on the planet. Terrible to try to figure out where you are going. No one wants to help. Not ready for the volume. Bad planning, bad staff. Restaurants closed while people stand in line for hours. Tell the mayor of ATL to call Fl if she has any questions about how to reopen."
7th June 2021,1,"""not at all equipped to handle volume""","Not Verified |  Airport not at all equipped to handle volume. Absurd lines at all [open] restaurants, not enough seating at terminals, overall a total failure. Embarrassing."
6th June 2021,1,"""food places everywhere and every single one is closed""",Not Verified |  This airport is a joke. There are food places everywhere and every single one is closed. Get your act together! All of your restaurants close between 5 and 6pm. Do you people not eat dinner here?
21st May 2021,2,"""there are 8 restaurants in the food court and only 1 is open""","✅ Trip Verified | I travel through this airport a minimum of 4-times a month. On my return trips I typically arrive around 6.30 to 6.45 pm. Almost all restaurants are closed. It's the strangest thing. This is not an occasional situation. It's every evening visit. Who is managing this airport? Why is this the case? After talking to employees at the information center, I've found out the restaurants close at 4:00 +/-. Now there's a couple of the larger restaurants open like TGI Fridays open, but most people w/ connectors don't have that much time. Currently, I'm in E terminal and there are 8 restaurants in the food court and only 1 is open [McDonald's]. Now there like a 100 people in line so that's not an option. All but (2) of the he convenience stores are closed and those have huge lines. The restaurant services should be for the peoples convenience and not the restaurant's convenience. Why hasn't the management observed this and made adjustments? I don't think they should stay open all night, but this is a little ridiculous. I'm sure they will blame this on COVID, but this has been going on long before COVID (I've been traveling through here for years). My guess it has a little to do with the controlling power of the political power of the mayor and her cronies."
9th May 2021,1,"""TSA is an absolute joke""",Not Verified |  Arrived at the airport more than 2 hours early and the flight had to be held so my wife and I could sprint through the airport to make out flight. This is because TSA is an absolute joke. It took more than 2 hours to get through the line with is absolutely unacceptable. I have flown into countless airports domestically and internationally and never had such an awful experience. I absolutely will never fly into or out of this airport again and I strongly suggest that no one else does either. I will gladly pay more money to fly in and out of a smaller airport. Atlanta’s international airport’s TSA division needs a total overhaul if they ever want to give individuals a positive flying experience.
9th May 2021,3,"""the most unorganized airport I’ve ever been to""","Not Verified |  This is the most unorganized airport I’ve ever been to. They had us going every which way, but the right way. It all started getting off an international flight where we had to walk half way across the airport. Then after going through the gauntlet of passport control then I stepped in a room of mass hysteria to get my luggage, then drop it off. Then I was directed to go upstairs to check in for my connecting flight, only to be told they don’t have TSA precheck. After going through the security check then I had to go back downstairs to catch a train to go to my terminal which was filthy. The only light to this was the handsome CBP security officer who stopped to check my passport. He was the highlight of me coming back from Puerto Vallarta! This airport needs to do better. It was a complete disaster!"
2nd May 2021,2,"""TSA security/staff are extremely rude and unprofessional""","Not Verified |  The TSA security/staff are extremely rude and unprofessional. Need better training or need to find a new place of employment. We are already viewed as ride and ghetto, very embarrassing."
10th April 2021,2,"""it is appalling""","Not Verified |  This airport wins the prize for the world's most expensive yet disgusting airport food and the unfriendliest food court staff. It was my first ever transit/visit via US, so I cannot compare to other US cities. However, having traveled a lot for over 20 years, it is appalling. There is hardly anything to eat, other than McDonald's at Terminal D, so I had to go to Terminal A. Well, the prices are mad, you pay 5.99+tax for a cup of coffee and 10.99+tax for a chicken salad. I asked them for any oil or sour cream or anything for my salad but they only have mayonnaise or mustard or ranch sauce. They DO NOT understand the concept of food allergies. If you have any kind of allergy or intolerance, do not go to this airport. Other notes - very crowded and noisy, you cannot get anywhere to rest quietly. I am giving it 2 rather than 1 because it's relatively clean. Avoid at any length of you can!"
9th April 2021,2,"""It is not okay to bark at people in a disrespectful manner""","Not Verified |  The TSA agents in the North Terminal are beyond rude and need to be trained to deal with the public more appropriately. For some reason, they use their jobs as an excuse to abuse any power they think they may have and make you feel like an idiot. It is not okay to bark at people in a disrespectful manner. The screener at The North Terminal that just stands there and motions for you to go in yelled at me for putting my boarding pass in my back pocket (which I have done 100% of the time on my many travels with not one issue). If this is a problem for him, he needs to learn to ask nicely, I am not below him in any capacity and will not be treated this way. Atlanta: Get your employees in line!"
29th March 2021,4,"""How very unprofessional!""","Not Verified |  The maintenance woman decided it would be best to blow the pollen from the street where people were standing waiting for the international shuttle! One lady was on the curb and got a whole yellow cloud to the face, and the little girl working at the shuttle post was doused in pollen and debris from the road! Everything on the sidewalk was covered in pollen and leaves, etc.. and the girl working there had to go get the lady and ask her to reblow it all back off of the sidewalk! She then had to rewipe everything at her station. How very unprofessional! Can this not be a task that's completed earlier in the morning when less people are on the curbs?"
28th March 2021,2,"""Looks like ATL is working on being the new LaGuardia""","Not Verified |  Looks like ATL is working on being the new LaGuardia. I counted two outlets that worked in D terminal for everyone to charge their phones. They have removed all books from the gift shops that are open. Food vendors that are open were rude. Bathrooms were dirty even when there was an attendant in them. Areas felt like the AC wasn’t working. While they have blocked seats in the hold areas, it’s just resulted in loads of people standing in the isle. ATL was always “decent” to fly through. But the decent apparently doesn’t apply during a pandemic."
21st March 2021,2,"""TSA at Hartsfield Jackson Airport is as rude as ever""","Not Verified |  Haven’t traveled in a year, but TSA at Hartsfield Jackson Airport is as rude as ever. They treat you like you are a complete idiot who is deliberately annoying them. They make up the rules as they go along, and shout out orders to befuddled travelers. If you fail to understand their mumbling, or the process known only to them, they treat you like a criminal. I have TSA pre-clearance, but conveniently they had shut down the TSA Line and wordlessly passed me a card. I was supposed to have held onto it until I went through the scanner myself. What would be so hard about posting the process on a whiteboard for all of us to read. By the way, my job is training workers at large corporations. If you tell people what you want them to do, they will do it."
18th March 2021,4,"""Extremely limited spots to recharge electronics""","✅ Trip Verified | Extremely limited spots to recharge electronics. Worse - many seat sections 'look' like they have outlets under the seats to recharge - but then the power to the seats is not on! Literally - all through the length of Terminal D there are dozens of pre-fab seats, and the cord that would normally attach to a wall outlet is just sitting there, unattached, lying on the floor. So - the many outlets placed under the seats are rendered useless. C’mon Atlanta. We travelers don’t ask for much. A couple of food options, a place to sit, and a place to recharge our phones. It’s how we use our time - by doing work on our laptops, staying in touch with loved ones as we travel, and entertaining ourselves with what for many is a few moments to ourselves. We even bring our own equipment - we just need access to outlets. I think we pay a tax to travel through - right? Please fix this big oversight. (Shout out to the sections between terminals, if one chooses to walk. Beautiful and informative displays! But - hard to remember when I couldn’t charge my phone)."
10th February 2021,3,"""This behavior is unprofessional""","Not Verified |  Airport employees have absolutely no respect for travelers. They sit in the gate areas with their cell phones on loud volume playing inappropriate music and videos as if the travelers are not customers. I sat and watched an employee approach Gate D3 where there were restless travelers who looked to be exhausted. The employee sat directly behind them and commenced on playing loud videos that included abrasive language and music. I was totally shocked! Shortly thereafter, another employee with a ABM uniform (Who had just finished cleaning the DS4-2-E1) Women's Bathroom who worked for housekeeping found her way over with a bag of chips and a sprite to have a lengthy conversation on her cellphone on loud speaker. After she got off the phone she had the audacity to burp out loud! Disgusting! Low and behold as I look up and ahead there is another employee with a PrimeFlight uniform on pushing a empty wheelchair eating yet another bag of snacks! All of this activity took place between 9am and 10am. This behavior is unprofessional. No wonder people look at us as ignorant unprofessional selfish individuals. I am sometimes ashamed of my own people."
10th February 2021,1,"""can you all really afford to allow this behavior?""","Not Verified |  I travel for business through Atlanta fairly frequently. I traveled today and in perfect ATL form I had the absolute misfortune of dealing with the rudest person at the security check point. I’d like to tell you this is the first time, but it’s not. Why are these airport workers so disgustingly rude? Why is everyone ok with this? There are plenty of other busy airports that have respectful employees. When travel has declined so much due to COVID can you all really afford to allow this behavior? These employees take advantage of travelers just because! I’m sure this review, like the others, will fall on deaf ears, just look at all your current reviews-shameful!"
2nd February 2021,2,"""approached for money whenever we pass through""",Not Verified |  The number of homeless persons in the airport terminals are growing each time I travel through this airport. My wife and I are approached for money whenever we pass through. I am wondering if this is part of the customer experience that the airport strives to achieve.
6th January 2021,6,"""could save a lot of money by ditching the monitors""","Not Verified |  I detest CNN, sadly one has no choice but to be bombarded by this former news channel turned propaganda outlet. Being stuck in ATL for for hours provides an unpleasant reminder of why I abandoned the main stream media. ATL could save a lot of money by ditching the monitors, and letting the passengers interact with the smart phones we brought with us in peace."
15th December 2020,2,"""It took 20 minutes to be in line""",Not Verified |  Terminal E at 9 am only had Caribou Coffee open in the food court with minimal people working. It took 20 minutes to be in line to get waited on. What's up with that?
14th December 2020,2,"""They need motivation and structure""","Not Verified |  Worst customer service experience ever. Employees were hateful, rude, no patience, and not the least bit helpful. They need motivation and structure. Everyone of them looked like they hated their job."
9th December 2020,1,"""Terrible airport to say the least""","Not Verified |  I travel often on business and was horrified at the behavior of TSA at the security checkpoint today. I left food in my suitcase in error and what they put me through was horrible. The screaming in your face during Covid, lack of social distancing at all. The women TSA agents were the worst. The level they got to in their voices and body movements was terrifying and abusive. Terrible airport to say the least. The TSA needs to be investigated for abuse of power."
8th November 2020,1,"""no one is policing the masks requirements!""","Not Verified |  Atlanta needs people to feel safe and fly to bring revenue to the city and airport. We will not be flying because no one is policing the masks requirements! Airlines can only police in their aircrafts. I saw several w/o masks in the train and many more at the boarding gate. They would sit with their backs to the gate agents (who do not have any power, except on their planes)! I saw many of the gate cargo workers from DGS at the food court, with no masks sitting talking on their phones. The Chiropractor on concourse A didn't even have a mask on and when I asked her where was her mask, she cut me a look! So many people, if they had a mask, had it below their nose. Atlanta Hartsfield has failed again. We will not be flying any more. A sign on the entrance door requiring a mask is not working."
