Date,Rating,Title,Review
Date of travel: March 2022,10,dont buy the economy ticket.,"Short term booking so had to take what was available for a 1 day business trip. Requested to cancel 7 days in advance for a voucher, partial, or donation to a charity with this ticket. Also pointed out that they can't charge taxes when I am cancelling. They keep the prepaid tax also. Bet that is illegal. I usually only fly Delta and didn't want to go to Dulles...Gonna let that seat fly empty and NEVER book American Airlines again."
Date of travel: March 2022,10,Terrible experience when pregnant,"This past weekend I took a trip from Rochester New York to Connecticut and in my 28 years of flying it was the worst experience I've ever had on American Airlines. In no way do I blame the pilots- the weather was out of their control but the way everything was handled was just unbelievable.We were set to land in Charlotte NC for a layover around 8:15 AM on Friday. At around 8:10 AM we were told that we were not allowed to land in Charlotte due to extreme fog and we were diverted to Greenville SC. I completely understand that it was not safe to land in Charlotte and we were low on fuel so we could not continue to circle.But the way things were handled after was appalling to me. We ended up sitting on the tarmac in Greenville for 3 hours and 50 minutes (after an already 2 hour flight that was diverted). During this time- only one of the three bathrooms on the plane were working. We were directly discouraged from using that one working bathroom. Since we were low on fuel and not able to get into a gate to refuel the plane was not air conditioned. We sat there for almost 4 hours in uncomfortable heat on the plane. We were given ONE CUP of water each and no snacks at all.Being 4 months pregnant I not only felt unwell, dehydrated and overheated but we were given no sympathy. When asking for more possible water we were given an attitude. We also tried to tell the flight attendant that the plugs to charge our phones (since we were all trying to use our phones while sitting there for so long and had already missed our next flights). She continued to give us more attitude telling us that the plugs only worked when we were in air, which we understood, but she refused to stop long enough to listen that we were saying that even during the original flight none of them we working. She then continued to go upfront and make a very passive aggressive announcement that they only work in the air- which we were telling her that they did not work at any point.While sitting there for almost 4 hours we also were told very little. It was completely unclear if we were ever going to be able to get back to Charlotte or if we were going to have to deplane at Greenville. After being told little to nothing we were finally told after 3 hours and 50 minutes that we were returning to Charlotte. Our treatment and the actions of the flight attendants on the flight was baffling to me and extremely upsetting.I felt physically unwell and mistreated, especially being pregnant. We were given no sympathy and were given rude remarks for being upset about what had happened to us even though we spent HUNDREDS of dollars on the plane tickets. We were given no refund or compensation for the seven hours we spent on that plane when it was only supposed to be a two hour flight total.The saga continues on my way home on Sunday. While going through security I received a notification that my flight that was supposed to leave at 5:30PM was delayed until 7:40PM. This would mean already that I would miss my second flight and be stuck in PA. When I went to talk to someone at the gate they told me that my only options were to fly standby on a very late flight, with slim chance of getting on the flight, wait UNTIL TUESDAY to fly home or take the first flight but then BE STUCK IN PENNSYLVANIA.I had specifically chosen that flight so I could be home Sunday evening since as a teacher I had to work Monday and could not miss school. I immediately told them I wanted a refund and ended up having to drive over 5 hours home by myself and pay for an expensive rental car to guarantee I would get home that night. Being exhausted, frustrated, and pregnant I am extremely disappointed in American Airlines. I have never had such a bad experience. I understand that weather happens, delays happen, but the way that I was treated after spending hundreds of dollars is still shocking to me. I do not plan on flying American in the future."
Date of travel: March 2022,10,Unimaginably Bad,"I hate flying American, but unfortunately where I’m from they seem to have the most flight options.  Here are my experiences from the past month:Abruptly cancelled my flight 2 hours before takeoff. They automatically rebooked me for 2 days later (yes, days, not hours).  Spent endless time on hold, finally rebooked myself online for a flight later that day.  They cancelled that flight an hour before takeoff. I booked myself on Delta and had to spend 4 hours screwing around on hold and online to apply for a refund.  Another flight 2 weeks later a similar experience.  This morning, waited in the checkin line for an hour and a half because they didn’t have enough help until I missed my flight. Got rebooked standby.  I have learned my lesson and will never fly American again, no matter how far out of the way I have to go.  Do yourself a favor and don’t book on American."
Date of travel: January 2022,10,Last AA flight,"Back in 2021 I was coming back from San Diego for Christmas. All normal, Got on the plane, no delay. So why exactly am I never flying with AA again? Well because I was sat in-front of the worst family ever! I’m talking 6-9 people! And I was in front of this devil of a child. Take off goes well, Then, AHEHAHWAHHHH!!!!!!! I look through gap in between the seat to see a large baby screaming, fussing and kicking my seat. I look over to the mother and give a dirty look of disappointment and anger. Still she does nothing, The flight attendants do nothing. Let’s get to why I'm not flying the airline. See, Delta has FC, Delta Comfort+ Then that Economy stuff. I would sit in Comfort plus and avoid those “Demons” Now look, I probably sound like some snobby, spoiled kid who thinks he is above other people. But I’m not. In fact I actually try to save money! Let’s get to some more issues. I was in front economy that I was told that I was extra? Anyways so rude for them to sit up here, they could just sit in the back! This experience makes me hate young children that are on any form of transportation or anywhere for that matter! Leg room sucks, My father was 5  feet 11 and was squished in the seats. I couldn’t stretch and I my legs ached the rest of the flight."
Date of travel: March 2022,10,Stranded and Sleepless,"This is the third time American Airlines has cancelled my flight within 12 hours of takeoff for no reason. When I call to reschedule they tell me that the best they can do is the next day unless I drive several hours to another airport. Their lack of concern for customers has cost me time, money, and sleep. I will never fly this airline again."
Date of travel: March 2022,10,Worst customer service,I was on hold for 5-6hours to add a baby to my flight ticket. This company needs to outsource people to answer calls or something because that wait time is completely unacceptable. Upon actually talking to a rep about adding a baby to my ticket they charged my card TWICE for two other tickets. I now have to wait 7-10 business days for a refund the f-ed up. Will likely never fly with this airline again
Date of travel: March 2022,10,Double booking and bad customer service,Travel from Costa Rica to Dallas via Austin.American Airlines flight got delayed from Costa Rica to Austin because the pilot arrived late. American Airlines agent lied to us saying we will be fine making our connecting flight in Austin to Dallas inspite of us asking for alternatives if we miss the flight in Austin. We arrived 15 minutes before departure time gate closed but they didn't allow us on the flight. In total there were 13 passengers on the same enroute but American Airlines did not accommodate.  American Airlines didn't accommodate as they were double booked. They accommodated passengers and waited for passengers on the next flight. We are stuck in Austin for 26hrs.  They did not give a voucher for taxi nor flight for the inconvenience caused with their fault. Agent at Austin gate initially gave excuses for not able to give even a hotel voucher because they don't know the reason of the delay from Costa Rica to Austin. Overall we are stuck in Austin for 26 hrs due with no fault of ours.
Date of travel: March 2022,10,Useless,Useless bunch of idiots. Called 3 times. Was on hold for about 3 hours each time. Nobody ever answered. Never got my issue resolved
Date of travel: March 2022,10,3 Days to go from Florida to NY,"We’re told we’d be 30 minutes late for takeoff but was almost 3 hours. Crew said they had no ride to airport. Truth we’re woke up late, party. Than cancel flights for 2 days. Finally Board airplane and wait one hour for 19 late passengers making several people sitting on aircraft late for there connecting flights. Who ever is in charge should be fired. This airline is a joke.  FAA should ground American Airlines."
Date of travel: March 2022,10,American Airlines treats its stranded passengers abysmally,"I bought a one way ticket from Havana after JetBlue cancelled my flight to Austin. The flight from Havana to Miami was delayed over two hours. When we landed only then did they find out the gate assigned us was still occupied by another aircraft. We sat on the tarmac for nearly 45mins. I missed my onward flight to Austin from  Miami although it later transpired that that flight was cancelled. I was then asked to stand in queue for 3-4 hours to be re booked on another flight (after nearly 3 hours of delay). When I complained I was told every one had the same problem so they can’t help me. Eventually i got to the ticket counter and was offered a flight 24 hours later basically meaning losing an entire day in a city i did not know with no where to sleep. I asked where I was expected to sleep and was told there were no hotels available so I could sleep on the floor or on the chairs on concourse and wait for 24 hours. This, after spending over 500USD on a one way flight. I was offered a voucher for food but was told only Subway was open at that time of the night (this after midnight) but the queue was about a mile long and it took 4 hours to get served. So all in all, 12 hours of delays, and standing in queues all caused by American Airlines who had no care whatsoever about what happened to their stranded passengers. They had staff standing round doing nothing other say sorry or suck it when in this day and age they could have handed them iPads to process stranded passengers as Emirates of Qatar Airways might have done. They could have shown more compassion and been more help in finding a sleeping place for stranded passengers but none of the American Airways staff seemed to care ; and there was no one to complain. When I wrote a letter of complaint the reply i received said they’d respond in 7-10days. The wait on their helpline was over an hourThe incompetence is amazing and the lack of regard for passengers shocking. It surprises me that Americans choose to patronise an airline with such atrocious service  and utter disregard for its paying passengers. Really shocking that Americans put up with this abysmal treatment by airlines. Clearly an opportunity in the freemarket for an alternative to do much better"
Date of travel: March 2022,10,Worst airline ever!!,"Do NOT use this airline, they delayed my fly  over and over, until they cancelled several hours later. I missed my connection fly. On top of that, I was traveling with my family with 2 kids. They split it up our family next fly without consent. Every agent I spoke with was misinformed or did not help, treating us with no sympathy. Then , they could not find one of my luggage for over 2 hrs. Very disappointed!!"
Date of travel: March 2022,20,Why is AA the last major airline to restore food service - isn’t it supposed to be the market leader?,"Having traveled both Delta and UA, as well as AA, over the last few weeks, it is clearly the case that the so-called #1 does not adopt a leading position when it comes to restoring normal food and beverage service in the post-Covid era. AA sadly, is far from being a leader in this respect. Not sure whether it’s a cost-saving measure, or simply not seeing that the competition is way ahead of them. Whatever the reason, travelers ought to be made aware that the best they can do, food-wise, on AA, is a biscotti, or a bag of mini pretzels!"
Date of travel: March 2022,10,Awful experience,"I have had the worst experience with American Airlines this weekend trying to get back home to DC from Nashville. My flight was set to leave Saturday evening and was canceled at last minute due to “bad weather” even though it was sunny and nice out. Not to mention, I could see online that TONS of other flights, including those that departed after mine was scheduled to take off, were landing at DCA just fine. The clerk herself admitted that it did not make sense. The experience, however, only got worse…Everyone on my flight waited for hours at customer service for a resolution only to be told that we couldn’t get on another flight until TUESDAY. The airline refused to offer a hotel discount, airline credit, or refund to anyone. Even though we were now stuck in Nashville for THREE days!!! When I found out I could be put on standby at 6 am the next morning, I asked and they wouldn’t even allow me to have a lounge pass so I could wait at the airport.  I was then told the flight the next morning was overbooked by 10 people and standby was essentially pointless for me. While waiting in line at customer service, there was a gentleman in front of me who was traveling with his wife and baby. Again, the airline refused to offer him a discount for a hotel, a refund or credit. The man  (who was a black man —coincidence?I’ll let you decide.) never once raised his voice or got aggressive. He simply pleaded for the airline to do something to help him and his family. Instead the attendant got angry at him and yelled at him that he had two options “book a different airline or take the Tuesday flight. Do you want us to risk your life flying in bad weather?!” Very unprofessional. The man in front of me then frustratingly walked away and the airline called the police on him to have him arrested. Unbelievable. The flight attendant said he had been working since 4 am and was too tired for this. Thankfully, my mother was able to speak to the police and calm down the situation so that they understood the customer did nothing wrong. When it was my turn to speak with an agent, I was met with inconsiderate agents who kept saying they just wanted to walk away or tell everyone to go away because this was frustrating for them too. I agree, it was a stressful situation for everyone involved. However, it is unprofessional and extremely inconsiderate to say that to passengers who are now having to book an extra 3 night stay over the weekend in Nashville where the minimum is a couple hundred a night for a room. American Airlines is a billion dollar corporation. They could have compensated for customer troubles at least a little bit. I am absolutely appalled by the experience and customer service."
Date of travel: March 2022,10,They cost me a ton of $$$$,"I was returning from vacation and they cancelled my flight. The people I spoke to on the phone and in person were rude and basically just took the attitude ""sucks to be you."" They booked me on another flight more than 2 DAYS later. I missed an incredibly important doctor appointment. I missed work. My car spent 2 extra days in long term parking.  I was compensated for nothing. No meals. No hotel stay. Just a big middle finger after hours of waiting in line. They said they don't compensate for flights cancelled for weather. It was sunny out. There is no way the flight was cancelled for weather conditions, they just said that so they did not have to compensate anyone. I attached a picture of the ""terrible weather.""Absolutely the worst customer service I have ever experienced."
Date of travel: March 2022,10,The worst service in America,"After being split up from my family on delays, and being lied to about being put on standby twice I have realized their is not a worse airline in the country. to make matters even better every employee I had the displeasure of speaking too was useless and more worried about getting to the next customer then making sure I could actually get home with my family (with 3 kids). Some advice to anyone going anywhere, if you want to actually get where u want to go when u want go without being lied to DO NOT FLY AMERICAN, if you want to fly on airline that won’t split up your family like Nazis DO NOT FLY AMERICAN, and if you want to be respected like the paying customer you are DO NOT FLY AMERICAN!"
Date of travel: March 2022,10,Not for families,"Don't fly American if you have a family. Family of 6, not a single seat together. Super pathetic. Only way to get 2 seats together, was if we paid a ton more PER SEAT."
Date of travel: March 2022,10,I do not recommend,I dread having to book with this airline. My flights are usually delayed. The planes are cramped and uncomfortable seats. Unfortunately it’s the only airline that flies into the airport by my parents .
Date of travel: March 2022,10,Botched delays,Quite a terrible experience American air sent us from El Paso to Dallas only to not have a flight 4 us
Date of travel: March 2022,50,Excellent service by Emily,"We enjoyed a wonderful flight due to the excellent service by our flight attendant, Emily.  She is truly the kindest, most genuine, compassionate flight attendant we have had the pleasure of knowing.  She made all the difference on our lengthy flight."
Date of travel: March 2022,10,College Tour to NC,"I booked a trip for a long weekend with my son. They screwed up my reservation, lost my son’s reservation, hours on hold with customer service, had to buy another ticket to get my son to NC. Not even sure he has a reservation for our flight home. On hold with customer service for 4 hours yesterday only to be told I can only take care of it at the airport. Horrible experience!"
Date of travel: March 2022,10,American Airlines Strikes Again!,"This is the 2nd time it's happened within 6 months.  First time we misses our connecting flight in ORD because we had to get off of 1 plane & board another, then sat on the new plane for 1 hour burning fuel before we could take off.  Now, we say on the tarmac for 1 hour in MCO for who knows what reason,  so we ran to try to make our connecting flight, only to be told you missed it, even though it was still at the gate. They called us by name to re-book, wouldn't you think that they would've held the plane knowing our other flight was delayed? So, we sit at ORD for 4 hours. Avoid American Airlines!!"
Date of travel: March 2022,10,Worst Airline,"First vacation after pandemic and going to Florida for spring break.Noticed bad weather was forecasted on day of travel.  Called airline 5 days in advance asking to fly out one day before, she continued to say no. Went to airport day of flight due to 4 hour delay and then asked to fly on another route. Manager insisted they would not change flight. Ask I was talking to manager flight was cancelled. The best they said they could do was standby for day after, I refused. Flight was changed to three days after original departure with a layover, no longer direct travel.I asked to push to another airline and they refused. American also lied that the flight was cancelled due to weather which was also a lie based on conversation when calling customer service. AA was the only airline that day to cancel flights, no operational issues with other airlines.The lack of customer service is non-existent. They lied about flight availability as there were seats when we called customer service.If we all stop flying this horrible, low quality, airline we could make an impact by eliminating them from business.American does a great job at not even operating at the minimum bar- flying customers to their destination"
Date of travel: March 2022,10,American Airlines Sucks @ss,"So, after the American flight landed 1 hour late to New Orleans we finally boarded, only to sit for another 90 minutes while the baggage handlers fiddle F’d around loading 10X as much luggage as there were passengers, there is no way every passenger had 10 suitcases, then to top it all off, we landed in O’ Hare, my connecting flight was also delayed (another American flight, imagine that) I rushed to the gate to find they cancelled my boarding pass and gave my seat to someone else, now, it generally takes quite a bit to piss me off, but American Airlines managed it, after cussing out every American Airline employee I could find, I checked my blood pressure ands it was 183/110DO NOT FLY WITH AMERICAN AIRLINESTHEY SUCK"
Date of travel: March 2022,10,I hate this airline,Worst ever!!!!!!!!!!!!!!! Do not fly them!!!!!! Can’t ever begin to explain how bad….I’ve been on a plane for 6+ hours now to go 40 minutes in the air….Then they messed up the baggage
Date of travel: March 2022,10,Saddened by service,"Never have I have I had such a terrible time with a airline. There was a line 20 deep of people with no assigned seating. They the  had to call out to switch seats to fulfill previous reserved seating made online. They then had the singles board very last as they did not assign these seats until the very end. Truly the worst service I have ever had with a airline American, Canadian, European or otherwise. I sadly won't be flying with American Arilines again."
Date of travel: March 2022,10,Flight delayed due to maintenance then missed connecting flight.,"Initial departure was supposed to be at 10:20am, but flight was delayed due to maintenance. Departed at 12:30p and arrived at phoenix airport at 2:45for a connecting flight to San Francisco that departs 2:53p. Surely, we had missed our flight. We even asked another agent for confirmation and didn’t tell us what time it was boarding or departing. Couldn’t he have buzzed the agents to notify them we were coming so we didn’t miss our flight? We go to the customer service to report we had missed our flight due to our previous flight being delayed. We are then placed on the next flight scheduled for 9:50p. Our plans for our anniversary trip are cut short due to this. The agent offered a free hotel to stay for the night, but we declined the offer since our plan wasn’t to stay in Phoenix. It’s just frustrating that our initial flight was delayed for 3 hours causing us to miss our connecting flight. To make the situation even worse, we’ve heard several other customers upset. In particular, this woman next to us speaking with another agent was complaining about how no other AA agents were being helpful at all and were rude to her. The agent wasn’t apologetic at all and had the audacity to ask, “well what time did you arrive at the airport?” The customer was complaining and saying she’ll never fly AA again. And let me add that the customer wasn’t even being rude, just voicing her frustration. We overheard the agent say something with attitude when she walked away, “Look who’s talking,” which was completely unprofessional especially because other customers were around. My wife is a customer service manager for a retail company and even said how the way it was handled by the agent was all wrong. We also heard another customer on the other side of us saying something about “how unfortunate” and walked away frustrated."
Date of travel: March 2022,20,HORRIBLE CUSTOMER SERVICE,"To start it off.. I have a AA credit card in which I purposely use ALOT, typically I never use any other airlines other than AA.. I'm so fed up with the 2 hour wait when calling in.. the site cannot service you for everything.. yesterday I called in to book international flight and I was using points and cash.. it was a nightmare and the person that answered the phone ""RON"" which was the 3rd person I was transferred too since the other 2 couldn't help me for some reason, this guy was the RUDEST person I have ever spoke too.. I requested to speak with supervisor 5 times and the said NO and then hung up on me.. I have never been treated this poorly. I wrote an email to Corporate but of course I never heard back.. I am really thinking about getting rid of my AA Credit card and switching to United.. I think at this point it can't get any worse. I am very DISAPPOINTED WITH AMERICAN AIRLINES !!!!!!!!"
Date of travel: March 2022,10,Delayed flight in Dallas/ weather not their fault but their workers are AWFUL at helping customers,"American airline workers must hate the company as bad as I do I saw several lose their cool with customers that were not doing anything wrong. one lady picked a fight with a man in Dallas airport when all he was doing was standing waiting with his ticket on his phone. She began to yell at him what can you do my job, and tried real hard to get him to react. All he stated is I just would appreciate the communication and I have my own job than you. Others in the Houston airport treated me as if I was a huge bother. 4 sitting doing nothing and ignoring me and my questions"
Date of travel: March 2022,40,Great flight,"Considering all the pre and post flight COVID restrictions this was a great flight. AA had a smooth check in and the seats were clean and comfortable. The food was the best we have had for many a long year and a special mention must be be made to the crew - Coreen was especially friendly and always smiling. We were both very impressed and will be flying to LAX with them in September. PS a glowing review but I am not staff, lol!!!"
Date of travel: March 2022,50,Best flight Attendant!,"I recently flew home to see my parents and wanted to say that Michel is the best flight attendant. He was the flight attendant going to Colorado Springs and my flight home. Lucky me!!  His communication skills are superb.  I had to ask if the messages over the speaker were recorded.  It was him speaking live!!  I always have trouble understanding every word because the volume is too low and they talk too fast. Michel obviously takes his job very seriously and loves it. He was attentive, friendly and funny.  During my flight home he wrote me the nicest thank you card.  Love him!!!"
Date of travel: March 2022,10,Never again flying American,"Flying for spring break from Jacksonville Florida to Colorado with our kids. We got to airport 1 1/2 hrs early, only one person checking people in and kiosk weren’t working. Curbside also not open as is was 4:30 am. Missed our flight because we couldn't get checked in. They could reschedule us in 4 days!!! But our trip would be over!! Never, Ever Flying American Again!!! $6,000 dollars down the drain!!!"
Date of travel: March 2022,10,Very bad service,"I had a terrible experience with AA. my tickets were booked March 2020 but were cancelled due to COVID, as everyone knows. I could not get refund online because it shows not eligible. I was informed by travel agency that I have credits with AA. However, when I was trying to use my credit to book my trip on April 4th, I was told by the agency that AA does not allow to use the credit because AA has a policy that the credit is valid only if I travel by the end of March 2022. I and my travel agency were trying to reach out to AA to extend the credit for four more days but failed. Called AA customer service many times, no one offers help. we were told to go online to complain, but no one cares, no response at all. what a terrible service! I am very disappointed. We all know we are still in pandemic, everyone is affected by this, and AA should be flexible on credit, but instead they are giving their customers hard time. Other airlines allow to use credit by the end of 2022, But AA does not. Don't book with AA."
Date of travel: March 2022,10,Downgraded with no Refund,"I find it interesting that as a customer who purchased an economy ticket for an upcoming flight has suddenly been downgraded to basic economy. Yet no one in customer service will help me, despite the code on the credit card charge showing that it’s an economy ticket. This is a very dishonest practice and I can’t believe the money spent on this airline company. Scam artists. Never again."
Date of travel: March 2022,30,David,"1. Crowded by customers chair recliner in front of me. 2. My chair recliner would not work. 3. Person next to me crowded me. 4. Entertainment screen not working. Bottom line, VERY uncomfortable flight."
Date of travel: March 2022,10,Longest flight ever,First we had to change planes at the run way then we had a million other delays and we got their hours later we where supposed to
Date of travel: February 2022,30,Average flight with little Food,"Traveling to the Dominican Republic in early February for a bird watching trip American Airlines offered the best timing for me.  Had a red-eye going over (no real food - just some chips), and an evening flight returning to Seattle (minimal food).  The return flight was 3 hours late (in Miami)  - no explanation was given.  So, this was an average American Airlines flight..."
Date of travel: March 2022,10,FLY AMERICAN IF YOU WANT CONSTANT DELAYS,"Terrible service, constant delays. We had to wait 4 hours just to figure out the plane couldn’t be used and then had to wait another 2 hours because catering didn’t bring snacks on the plane. Didn’t get to our destination anywhere close to the time we should have arrived. I will NEVER fly American again."
Date of travel: March 2022,10,Horrible company,Avoid american airlines at all cost!!!!!! Worst company to fly with! Delta has way better customer service and is all about helping their customers. American airline agent refused communicate with me after telling her I'm deaf and requires lip reading for better communication she wouldn't remove her mask or write down anything I had pull a customer to help me communicate with a agent and it was super embarrassing and upsetting. 😡 screw american airline and their customer service!!!! This company does not deserve 1 star!!!!!
Date of travel: July 2021,50,The Best Experience!!,I felt happy to say their service is one of the best I have ever meet in my life. I really enjoyed their service after boarding. I wish their success in the long.
