Date,Date,Rating,Title,Review
2020-04-06,2020-04-06,1.0,"""Extremely rude and unhelpful workers"""," |  Extremely rude and unhelpful workers. My parents speak limited English, however written instructions as well as verbal information was given but everyone they came in contact with in reference to getting from the international terminal to domestic were rude. They actually came on a repatriation Flight due to a lockdown in India because of covid-19 through the US government and this airport was the only place it ended from Mumbai. I was hoping to avoid this airport for them but due to the circumstances I couldnt. Sadly, even our beloved Southwest Airlines counter agent who was checking them into their Chicago flight was not nice to them. My exhausted parents eventually made it to Chicago but unfortunately I was compelled to write an honest review of their experience. I hope that during training or pep talks everyone is reminded that kindness doesnt cost anything. Hopefully if we learn anything from this pandemic itll be compassion."
2020-04-10,2020-04-10,10.0,"""it was very open, spacious, and inviting""","  | This airport was one of the best I've been to, most likely my favourite. There was plenty of very beautiful artwork throughout the terminal, and it was very open, spacious, and inviting. There was plenty of seats available, it was very clean, and there was an extensive selection of food and beverage stores in the E gates. The directions were very clear, and all the staff were very friendly and willing to help. The lines at security and customs and immigration were very short. The Wi-Fi there was free and very fast. Overall, this is an excellent airport: it considerably exceeded my expectations, and I would go out of my way to fly through YVR again."
2020-04-15,2020-04-15,1.0,"""Worst airport I have experienced in the USA""", |  Worst airport I have experienced in the USA. Endless mazes to walk through when entering from international. Dirty. Crowded. Staff yelling at people and this was at 6am. Avoid this airport. I saw signs that 1.2 billion was being spent to modernize - will it be enough? Door alarms repeated sounded and many people had to cover their ears. I gave an overall rating of 1 - I did make the connection (barely) and got through the place but it was an unpleasant experience all around.
2020-04-22,2020-04-22,6.0,"""I was expecting more choice of food""","  | The airport is spacious, looks pretty, however for this kind of airport I was expecting more choice of food in terminal 2. Compared with Gatwick, Gatwick is much better. Staff should have better training at check in area. Not family friendly. Its good if you travel alone outside Europe."
2020-04-25,2020-04-25,1.0,"""The worst TSA ever""", |  The worst TSA ever. I was 40 minutes early before doors closing and its took 30 minutes just to get thru the security and when arrived at the door 2 minutes late they wouldn't reopen the door.
2020-04-27,2020-04-27,1.0,"""I miss the old terminal so much""","  | New terminal is the worst case of the ""emperor has no clothes"" ever. Uncomfortable. Poor design. Passengers huddle behind the few available walls to shield themselves from the blinding sunlight flowing in unfiltered through voluminous windows. There is no place to hide. Inadequate seating. I miss the old terminal so much. What a waste of money! And the news media seems to be complicit in this boondoggle. This is not a Mercedes with four flat tyres, this is a Pinto with no tires that has been stripped for parts no one wants."
2020-05-04,2020-05-04,1.0,"""Water vending machines needed"""," |  Water vending machines needed after security.  All stores obviously closed due to COVID. Pass the security only a water fountainis available. Is that hygienic considering the rate at which the virus keeps spreading?  There are 2 vending machines that sell electronics. Please exchange those for a water one! In the meantime, bring an empty bottle of water with you."
2020-05-14,2020-05-14,1.0,"""no safety requirements""","  |  There are no safety requirements in place during this coronavirus pandemic. At least half the people were not  wearing masks - including airport personnel. There was no social distancing, and, the airport was crowded. I thought that flying in mid-May would be safer than waiting till more people flew, especially since I heard that airports and most airlines were requiring masks (if not social distancing). Only in the USA would there be no real safety regulations in place. For shame airport. Alaska Airlines was worse/as bad. They 'boasted' about their safety policy in place but it was a farce. They said masks were required but there was absolutely no enforcement, even when I complained. I hope to never fly through this airport or with this airline again. It would have been a relief if they had followed their words with real actions, but obviously they are afraid of passengers (who I agree must be not quite right to not fly with a mask), and obviously the company policy does not back them up."
2020-05-14,2020-05-14,5.0,"""have plenty of time to spare"""," |  Chicago O'Hare Airport is big, very big. You have to take a bus to travel between terminal 1 to terminal 5 which is an International Terminal, may take many hours to pass thru security. It is crazy with a lot of people everywhere. You must prepare ahead, get a good map, direction and know where to go Leave home early and have plenty of time to spare."
2020-05-19,2020-05-19,1.0,"""Lots of people not wearing masks there"""," |  Please enforce the mask requirement! Today, May 18, was supposed to be the first day SEATAC required masks. Lots of people not wearing masks there - even a TSA agent. I will not go through SEATAC until I hear they are enforcing mask requirement. If SEATAC does not require masks, it will hurt Alaska Airlines."
2020-06-05,2020-06-05,4.0,"""needs major improvement"""," |  Flown through MCI multiple times, airport was dark and dingy, all the shops and restaurants were on the wrong side of security and the staff are rude. Overall needs major improvement."
2020-06-05,2020-06-05,8.0,"""the best airport I have been through"""," |  Flew through Charlotte Douglas international airport on the way to Antigua back in 2016. It was the best airport I have been through, easy to navigate, good food and shopping options, and nice staff. The best airport along the east coast by far."
2020-06-06,2020-06-06,10.0,"""It's how airports should be!"""," |  Great airport. It's clean and fast to transit through. The CBP staff were great as were the TSA staff. There are loads of shops, food outlets and seating. It's how airports should be!"
2020-06-10,2020-06-10,1.0,"""a horrible horrible experience"""," |  The worst airport ever. All NYC airport staff generally rank low in terms of attitude and manners. It isnt uncommon to be greeted with a very confrontational service. On this occasion I had booked NYC as a family holiday and left by the end of the week feeling so upset. A woman and man working at security shouted at my and my family completely unnecessarily. They demanded we fold down our pram with my sleeping 1 year old baby in it and then shouted at us to get her out and the to move on immediately whilst other members of staff watched with complete indifference and smiled. It was a horrible horrible experience. They created an unbelievably tense and hostile environment, which the staff almost fed off. It was not the best holiday given an UBER driver demanded $250 after taking us from JFK to our hotel, and the hotel mixed our rooms up (the Maxwell on Lexington Avenue) Leaving 5 of us to share a double room for 5 days. All in all an awful experience made even worse by the airport staff."
2020-06-10,2020-06-10,10.0,"""it is seamless, clean, and very efficient"""," |  This airport is amazing. I was connecting from a very small airport from a regional flight. I step off the plane in concourse b. I then go through the underground tunnel to connect to Paris CDG. I take the tram and stop at chick-fil-a. The tram is very nice and quiet with lots of room. I stop at the skyclub and it is one of the best I've ever seen. You can walk, take moving walkways, or the tram. The airport is very efficient from connections with seats for everyone. If you want to shop there are stores there too. The McNamara is the only terminal I've been in and that will be the only terminal I will use. If I have the option to connect through here, then I will go for it, because it is seamless, clean, and very efficient."
2020-06-10,2020-06-10,1.0,"""Queuing is awful with unfriendly staff""", |  I was exchanging here. Queuing is awful with unfriendly staff. Delta is good but not their hub. I am never going again and you shouldn't.
2020-06-14,2020-06-14,9.0,"""directions very visible and helpful""","  |  Excellent airport to travel from, we organised,  professional well trained and helpful staff, A wide range of duty free shops, Signage and directions very visible and helpful, seating area is great, Business lounge is fantastic, even though at times there are long queues due to the efficiency and intuition of the dedicated staff these queues move quite quickly. I have always travelled through this airport despite living over three hours away, the standards at this airport improves each time I have travelled through it inevitably adding a positive experience to my travels In all honesty I cannot pick a single fault or negative experience that I have been through at this airport."
2020-06-25,2020-06-25,6.0,"""has anyone else had the same experience?"""," |  Recently I took a trip where we flew to Austin TX, on the return trip to St Louis our bags, which usually take a while to come out took an exceedingly long time to come out this time, over a half hour. Then, when they came out and we picked up our luggage at the bag return the pull handles on both mine and my wife's luggage had some kind of goop on them, smelled like green apple. I smelled this in the bag return area before we got our bags too, has anyone else traveled and had the same experience? It was weird and it's bothering me! Is this some sort of TSA thing?"
2020-06-26,2020-06-26,1.0,"""Stay away""","  | This airport is literally dangerous to your health. At least 50 percent of the people are not wearing masks, and indignant about it. Making matters worse the airport is just as packed as it ever was. Stay away."
2020-07-06,2020-07-06,8.0,"""Easy to Navigate airport""",  |  Easy to Navigate airport with a simple layout. Not many restaurants/food places were open due to COVID. Tons of seating available. Easy train connection between check in area and gate area. Extremely short security lines.
2020-07-06,2020-07-06,1.0,"""do not recommend this airport"""," | This airport had terrible customer service for the most part. Only few employees were understanding and accommodating. They took away my 74 year old aunts wheelchair that she needed when she sat down. Not to mention, one of her escorts left her in a corner for an hour or more. The escorts just displayed terrible customer service. The experience was so horrible for my cousin that she had a complete panic attack and had to run from one end to the other for her stuff. I do not recommend this airport to anyone."
2020-07-08,2020-07-08,1.0,"""Rudest TSA ever!""","  | Rudest TSA ever! They acted so miserably! Before we even got to them they were yelling and getting annoyed with people to get their boarding pass and ID out way before they even got to the front. Rushing everyone. Then we were making sure we had the proper stuff out of our bags and we asked to make sure and the guys says ""well if you would listen to what I'm saying you'd know."" Wow. Then another person got mad because our bag wasn't catching on the belt and the lady started yelling at us! If you hate your job so much leave. It's not hard to be a nice person and if you hate people don't work around them!"
2020-07-08,2020-07-08,3.0,"""It was a mess!""","  | The Allegiant ticketing/check-in counter was seriously lacking the number of agents necessary to check in passengers on this flight. We stood in line for over an hour and barely moved. While in line, the Allegiant agents began calling up passengers for another flight to check in in front of everyone waiting in line. This prompted other passengers who were not paying attention to jump in line. It was a mess!"
2020-07-15,2020-07-15,1.0,"""disgusted with how filthy the airport is"""," |  We are in the middle of a pandemic where masks are enforced at airports etc. Everywhere I look there are people not wearing masks. I even asked an employee of the airport to enforce the rules and ask a man close to me to put on a mask and she told me it wasnt her job and walked away. I am disgusted with how filthy the airport is. People leave their trash all over and have no respect for others around them. Even the pilots and staff arent wearing masks, really setting a great example for the rest of people. To say Im angry is an understatement."
2020-07-23,2020-07-23,1.0,"""Utterly poor customer service""","  |  Security was absolutely shambolic. Travelling with family/children? Avoid like the plague. Especially security B. Post lockdown levels of passengers yet still a long queue as only one scanner open. By the way, security B is a maze of stairs and hidden lifts. Im travelling alone with a toddler who will not leave my side during security yet its insisted I stand alone in the body scanner. Toddler leaves my side for no more than 5 seconds, and security staff grab her by the wrist and pulls her away from me in the scanner, whilst another coworker fails in his attempts at entertaining/distracting my toddler with a tray. Toddler freaks out with the woman grabbing her by the wrist and ends up getting extremely upset and clinging to my leg and screaming at the top of her lungs. I sternly ask her not to do that as shes hurting and upsetting my already stressed child. She would not have grabbed an adult by the wrist and pulled like she did to my daughter, whilst my daughter panics and cries out for me. I ask if we cant just go through the walk through scanner, and she says no - the rules are that if the body scanner is available I must be scanned in that, and that shes just doing her job. So they finally decide to do a complete search instead. A supervisor turns up to hover but has nothing useful or comforting to say. When I tell her we were forced to go through the body scanner travelling alone with a child, the woman pipes up and says we werent forced to go through it. And says this repeatedly, contradicting me. However, I was certainly not offered a choice!! Meanwhile my daughter is begging and crying for her pacifier which is on the tray going through the bag scanner rolls eyes which Id been asked to send through with the bags because it was bulging in my pocket. She pats me down. Then tells me she also needs to do the same to my daughter (having man handled her earlier). I explain to my daughter whats about to happen (woman tries to tell my daughter shes going to give her a tickle), woman looks to me for approval, and I tell her to just do it quickly and get it over with. A completely unnecessarily stressful experience with zero consideration nor respect for children. Utterly poor customer service."
2020-07-27,2020-07-27,1.0,"""Hope the pandemic causes a mindset change"""," |  Must be the worst airport in the world, security treat people like dogs. Lounges are always full. Its the whole attitude of the staff. They have had it easy for years. Now that crunch time has come they may start to treat people like customers, in a friendly and happy manner. We are going on our holidays. We do not want to be abused by staff from start to finish. Its a dreadful experience. We pay your wages, we are on a hard earned break and you ruin the start of it. Its appalling. As far as the lounges go the staff are a disgrace. You feel lucky to get in any lounge even though you have paid an annual fee. Hope the pandemic causes a mindset change. The only nice people at Manchester are Jet2 staff. What a breath of fresh air to get to the Jet2 gate and the staff are so lovely. What a change."
2020-08-13,2020-08-13,3.0,"""belittle their customers""",  |  I think everyone can count on more than two hands the amount of rude experiences at an airport that theyve had but todays stood out more than usual! My boyfriend and I set our backpacks down after having gone through TSA already to go grab a bagel which couldnt have been more than 10 minutes. When we came back to our seats there was a guard standing near our stuff with a dog. We didnt think anything of it and then he approaches my boyfriend to belittle him in front of other people that you cant leave your bag unattended and it makes people unsettled. He went on for about 5 minutes and then told us some other people may be coming to talk to us. All for a backpack ?! What is TSA for if youre still worried about my bag?! Maybe this airports needs to put signs up saying not to leave bags unattended before they belittle their customers for their unwritten rules. Attached is a picture of the dangerous scary backpacks!
2020-08-18,2020-08-18,3.0,"""no social distancing at all in this airport""","  | There is no social distancing at all in this airport! I asked an agent for help for the distancing she said it was not her job! This is a dangerous place for your health, masks are not enough, social distancing and washing your hands is the base for the protection of all! It is not that complicated, I saw it applied everywhere else in Vegas. I live here so I know first hand."
2020-08-20,2020-08-20,1.0,"""Rudest employees Ive ever encountered""",  | Rudest employees Ive ever encountered! This was less than 30 min here. I will never visit this airport again. Judging by the reviews this happens to be their norm!
2020-08-22,2020-08-22,1.0,"""if you hate your job then quit""", | I know being a TSA agent is probably very difficult but I do follow all the rules and try to be pleasant to you all but when I am treated like a five year old and told to line up against the wall just like you learned in the first grade than I get annoyed. Dont wave me off and say stay here and dont move! How about being nicer if you hate your job then quit. I would be fired on the spot for being rude to a patient of mine! Find a job that does not let you near people .. have a better day for the agents at gate D
2020-08-23,2020-08-23,4.0,"""USB ports are all destroyed""",  | Someone needs to replace the charging ports near the gates. I plugged my cube in and it keeps falling out. The USB ports are all destroyed. Just came from Tampa and had no such issues there.
2020-09-03,2020-09-03,1.0,"""airport is in such disarray""",  | This airport is in such disarray. I flew from gate e33. They have so many people flocked at the end or this terminal that there are no seats. People are standing. The gates are so close. Like the door to the gate is maybe 2 feet from next gate. No organization at all. People were in line to speak with gate agent and she pretty much ignored us last two in line. I love flying American Airlines but if that means I have to connect in Charlotte then Delta it will be. I can only hope that they get this fixed real soon.
2020-09-05,2020-09-05,1.0,"""lack of professionalism should not be excused""","  | Worst TSA! Negligent, rude, inefficient, dismissive. The manager of TSA (bearded and in his 50s) was combative and immature to a point of disbelief. The lack of professionalism should not be excused."
2020-09-07,2020-09-07,3.0,"""Staff are not friendly"""," |  I generally enjoy the service at Heathrow. However, the customer service at duty free bare minerals is appalling. Staff are not friendly, there is a lack of foundation shade variety and diversity and staff made absolutely no attempt to offer any help or sincere advice. Would not attend again."
2020-09-08,2020-09-08,10.0,"""this place is immaculate""","  | I am so proud of Atlanta Hartsfield! I dont know if its the entire airport or just the Delta Terminal but this place is immaculate! The ladies room was super bright, clean and totally automated! My processing through check-in was seamless! So proud to say this is my hometown airport! Great job!"
2020-09-09,2020-09-09,1.0,"""received nothing but rudeness""","  | American Airlines attendant was very rude. I'm on military orders and flying home finally and she was not helpful or nice when having issues checking in. TSA staff were also very rude. I asked where TSA precheck was (apparently I went to the wrong checkpoint) and did not tell me until I finally got through. The TSA staff stated ""if you didn't want to take it your electronics you should have went thru TSA precheck line"". Funny, I didn't know that was an option. Seems no one at this airport likes their job. I came to Texas to support the state, but received nothing but rudeness. Do not fly through Bush."
2020-09-09,2020-09-09,4.0,"""what a dismal experience""","  | Our first flight out since March and I wasn't quite prepared for what a dismal experience LGW would be. The main place for food and drink on the ground floor was Wetherspoons which had a queue of about 70 people. We could never have used it with the time available. The best we could find was Pret et Manger which at least sold wine and you could sit in the unopened Yo Sushi restaurant. For London's second airport it was a second division offering, especially compared to DUS where we flew back from. We deserve better, and they should offer better if we're ever going to start flying again as usual."
2020-09-16,2020-09-16,2.0,"""social distancing is very hard to achieve""","  | I disliked this airport after a horrible experience a few years ago but it seems its only gotten worse. 70% of restaurants were closed with only limited options available, all of which were fast food or fast casual. This greatly reduced the amount of available seats for those who did need to eat, and therefore social distancing is very hard to achieve. Quite possibly the worst place to spend a layover during Covid!"
2020-09-18,2020-09-18,1.0,"""Id rather drive 4 hours to Stansted""","  | For years the security personnel at Manchester have been the worst in the world, rude, cocky, arrogant, confused, then after the lockdown in July they transformed they polite, knowledgeable and spoke to their customers (yes customers, our business pays their wages) live humans rather than like dogs. Then comes September, obviously fed up with being polite they are back, they all have different instructions have not got a clue and so arrogant and rude, Id rather drive 4 hours to Stansted they should at least all bark the same instructions Id sack the lot of them if they worked for me, absolute morons."
2020-09-23,2020-09-23,5.0,"""security check not social distancing""","  |  Concerns about social distancing. This is 1st travel since pandemic, at check in everything was fine upon going thru security check people were not social distancing there was plenty of TSA agents to in force. Also on Tram no Enforcement. This was not what I had expected."
2020-09-23,2020-09-23,1.0,"""I was appalled by the rudeness of the security staff"""," |  I've been flying from Manchester since the mid 80's and always found it the best in my region for the choice of destinations. I lived abroad for a number of years and recently returned to live in the UK. This was my first foreign trip from Manchester in 10 years and I was appalled by the rudeness of the security staff. I'm used to travelling with hand luggage only. Normally I pop my case on, take out my laptop, clear bag with liquids in and place them in a tray. I have it all down to a fine art. Now this time I had to put my laptop in one tray, my liquids in another and my cabin bag in another. My mother also ended up with two trays, so five between two of us. We then had to queue for ages to get through the one and only metal detector in that area and the staff were shouting at everyone to move quickly. At the other end a snotty woman was shouting at people to pick up their trays and take to the packing area. That's all very well when you just have one, but five, seriously. When trying frantically grab things and condense into one tray so I can carry it to the crowded packing are with no space, she's shouting at me saying 'It's not rocket science!' I've never been treated with such rudeness. I then had my case searched because of a tiny pair of fold up nail scissors which have been all over the world with me in 10 years with no issues. Doncaster Sheffield airport is 20 min from me where the staff treat you with respect and I've already booked my next hol from there. You can get to many popular holidays destinations from there and it's clean, modern and friendly. Why would I drive for two hours to be treated like a piece of dirt by people whose wages I'm paying? Just because they work on security they think it gives them carte blanche to be rude and unprofessional. With a lack of passengers due to covid, airlines cutting back on flights and cancelling holidays the staff should be welcoming passengers not driving them away. I can't honestly see Manchester still operating 3 terminals this time next year. Terminal one is also grubby and dated. I used to live in Manchester and loved it but having been back several times in the last year I've experienced nothing but rudeness at both the train stations and now the airport. No wonder I've heard people referring to it as the 'Nasty Northwest' lately. Heathrow must deal with millions more passengers every year and it's much more polite and professional."
2020-09-25,2020-09-25,3.0,"""have never seen so much mistreatment on handling people"""," |  My older brother has Autism and the TSA agents kept yelling at him. The first was yelling at him to move up as my brother was walking but I guess it wasnt fast enough. When my mom said hes Autistic, he says well you need to get him and tell him, she said I was but you keep yelling at us. The canine was out and we had to pair up. My dad was trying to be my brothers partner because hes afraid of dogs. But the lady TSA agent wasnt listening because she was yelling at him to go. So because he was hesitant because of the dog the agent with the dog kept yelling at him as well. We (my parents and I) yelled back hes autistic stop yelling at him. I travel a lot and have never seen so much mistreatment on handling people."
2020-09-27,2020-09-27,10.0,"""the agent was very compassionate"""," |  I was at the customer service counter to try to get on an earlier flight. I observed another lady quite upset, after handling my issue, which was resolved quite adequately. I went over to the station where the lady was in distress. I asked the agent, what was the issue, and if the lady needed help. The lady could only speak Spanish, and crying so it was hard for the agent to get at the crux of her problem. After sorting it out, she didn't have the funds to get a new COVID test for entrance into Guatemala, (Guatemala has changed their requirements). Anyway, the agent was very compassionate and spent as much time as needed to explain and help her to understand what she needed. I had inquired if I could help, some things, of course, could not be corrected by me, but this situation. I could help. She just needed money for the test. The American Agent, explained in Spanish to the lady and that I was going to help her with the funds. I am sure that this lady would still be at the Dallas airport if not for the help of the American agent that took the time to help her."
2020-09-27,2020-09-27,8.0,"""TVs are deafening""","  | TVs are deafening. Not all of us need to anesthetized by useless news. Make some quiet sections. Other then that, the terminal has improved immensely."
2020-09-29,2020-09-29,1.0,"""Absolutely the worst""","  | Absolutely the worst. Got lost in construction, then lost in the building, as there were no people working on that floor. Got to check-in late and American Airlines check in staff were so incredibly slow, the entire line was freaking out! Had to take a later flight, this was not ok. Worst airport."
2020-10-01,2020-10-01,2.0,"""Don't get stuck here!""","  | An airport I would not ever want to go through by choice. On my 1st layover I was having lunch at the burger joint and a mouse was running around ON the eatery floor by my feet. The second return layover again a rodent was running around on the carpet floor in the lounge area. Keep your bags off the floor. Employees hanging around like its a club, some sleeping in different dark corners. Bad management. Everything closed, can't even get a cup of coffee in the morning, food is also sparse. Don't get stuck here!"
2020-10-03,2020-10-03,3.0,"""Dirty Terminal A"""," |  Dirty Terminal A, almost nasty. TSA precheck were bumbling around, fumbling with bags on the belt, standing around chatting with each other and basically not paying attention. True amateur hour."
2020-10-03,2020-10-03,2.0,"""the worst flying experience"""," |  Absolutely the worst flying experience. Had a 7.20 am flight back to the Bay Area and was running slightly behind. Was forced to navigate across the airport (3 gates) to check by bag, and then was informed when I arrived at the gate (5 minutes before departure) that they had preemptively closed the gates 15 minutes. Didn't receive the memo. Make sure you show up at least 15 minutes prior to your scheduled departure or you may not be allowed on the plane. To top it all off, had to pay a $50 fee to change my flight. Couldn't even spare me that hassle."
2020-10-05,2020-10-05,1.0,"""one of the worlds most awful airports"""," |  Well I was pleased to see that in 2018 Terminal 2 was awarded Terminal of the Year. Because after waiting in a 6 hour immigration line today I was grateful I was not at the worlds worst terminal, because that would have been simply awful. Heathrow must truly be one of the worlds most awful airports."
2020-10-06,2020-10-06,1.0,"""Get it together!"""," |  My wife only had a paper copy of her Drivers License. We just got married and booked her flight under her new name. We had no issues flying from Denver they were helpful and professional, but Las Vegas TSA was a mess. They told her to change her surname back to her maiden in order to get through security. She had to go back to Spirit and ask them to change her name on her ticket to match her passport. She had already flown with her new name in their system, but the Spirit staff member was amazing helping her cancel her flight and then re-book it to comply with TSA. Long story short they asked her to travel with a name that is no longer her legal name. She had all the documents needed marriage certificate, new social, new debit cards, new temporary license, and her passport with her maiden name, and her old voided I.D. but it still wasn't enough. Get it together! How does one airport know how to handle this matter efficiently and you guys can't."
2020-10-06,2020-10-06,3.0,"""Someone needs to get them in check""", |  Airline was nice and polite to customers but TSA was not! Someone needs to get them in check. I witnessed a TSA lady yell and degrade this gentleman that forgot to take change out of his pockets. She then turned around and yelled at everyone in line. Who gives them to right to treat people like that! Now if that gentleman would of stuck up for himself he would of been in the wrong! Will never fly through there again just for that! The 15 people that were in line waiting to get screen agree and will not be flying out of IAH either.
2020-10-10,2020-10-10,6.0,"""very surprised to find no potty liners in your toilets"""," |  During this time of the Pandemic or COVID, I was very surprised to find no potty liners in your toilets. I thought maybe it was overlooked in one of the restrooms, but I visited a couple and no potty liners to be found. I think it should be normal for added protection especially now during the pandemic. My airport in Portland, Oregon has them."
2020-10-11,2020-10-11,1.0,"""this airport has some serious issues"""," |  Don't fly in or out of here! This airport is a joke, and Ive flown all around the country, by far this airport has some serious issues with pretty much everything. The terminals are being remodeled, so we got off and onto a bus that dropped us off at a door that then took us back into the airport to get extremely lost because, why would you put direction signs? Getting your car from the car rental is another chore that you get to wait for a bus to take you to. Dont let me get started on that complete mess, no organization, poor customer service, it took us from the airport to actually getting the car over an hour! On our departure, we got dropped off at the bottom level baggage claim by our lovely, being so sarcastic here, car rental bus driver. Again, no signs of directions to anything! Finally figuring things out on our own, because apparently no one works here at 6 am, getting through TSA was pure hell! Ive never been talked down to, yelled at, or felt like I was doing something wrong, this is exactly how I felt the entire experience going through TSA. It really solidified me never flying into or out of LAX ever again. Fly into Long Beach of John Wayne Orange County."
2020-10-13,2020-10-13,4.0,"""automatic machines are a mess""","  | Those automatic machines are a mess: - long wait before the security porch - long wait after, gets your stuff completely disorganized. Watch the standard manual line for much faster. No cleaning of the bins, not safe! Stop wasting money and our time for non sense machine please!"
