Date,Date,Rating,Title,Review
2017-06-22,2017-06-22,3.0,"""gate seating area is inadequate"""," Verified Review |  I'm sitting in the B gates area now waiting out a 3 hour weather delay. The women's restroom for all B gates only has 3 stalls. There was no soap, paper towels, or toilet paper. Southwest has put in charging stations, but the actual airport offers few, if any. To get to nicer food or restroom options, be prepared to leave security and be re screened in order to get to your flight. The gate seating area is inadequate for a full flight of passengers. Be prepared to camp out on the floor."
2017-06-24,2017-06-24,3.0,"""they have no wifi"""," Verified Review |  It's 2017 and they have no wifi. Upon my arrival, I inquired at an info desk and was told they are currently installing wifi. Upon my departure, I experienced rude and unprofessional ""welcomes"" at four restaurants, including: PGA Tour Grill, California Pizza Kitchen, Gordon Biersch, and The Local at HNL. I walked away from all of them, finding a very professional young man working at Burger King. I arrived at 6 pm and 80% of the stores were closed."
2017-06-26,2017-06-26,4.0,"""certainly not user friendly"""," Verified Review |  Looked beautiful but certainly not user friendly for those requiring assistance. We arrived with plenty of time for our flight, using a lounge prepared for post-cruise use at the Fairmont. Moving from the hotel to Delta's ticket area was easy as was check in. I was surprised that the passenger was required to move their luggage to the screening area - and then load it as the gentleman watching the operation refused to assist. We were able to obtain a pusher for my wife's wheelchair easily. She was friendly for the more than 40 minute wait to go through security. Seems Canadian security decided that only one screening position was required for strollers and wheelchairs. The entire process was glacial, maybe even slower as there were maybe thirty people in line. Each wheelchair, ours provided by the airport, was inspected as if it was an annual maintenance check. The area immediately after passing through the passenger screening check point looked like a demolition derby of strollers and wheelchairs with screeners doing more thorough inspections and passengers trying to collect their bags, belts and shoes from the mass of items packed into a mess. Finally clearing dis-functional junction, we broke into the clear for a smooth transit through US immigration and customs before transiting the usually duty free goods tunnel of shopping bliss, then a several hundred yard walk to Gate 90. The gate area reminded me of the Delta small plane area at JFK - crowded, uncomfortable, and seemingly more temporary than permanent in nature. The lady who spent the better part of an hour assisting my wife was pleasant and most helpful as was the Delta gate agent. Having to move and load your bags after checking in with your airline then waiting for security screening solely because you require assistance made for a rather poor impression."
2017-06-27,2017-06-27,8.0,"""through security in less than 10 minutes"""," Unverified |7.30am departure on Air Canada in La Guardia Terminal B on a Monday morning could have been an anxious experience but it was shockingly smooth. We were through security in less than 10 minutes. The A gate area is small, but there was seating for all and food options available with short queues at 6.30am. There was even a tiny duty free shop open. 30min of free wifi is available and worked fine."
2017-06-30,2017-06-30,9.0,"""very cool and hip experience"""," Verified Review | A few months ago I've heard of a brand-spanking new high-tech Terminal C North was constructed at Houston and I was very pleased that my flight was there. This was the terminal of the future. The design was very modern and clean. Blue LED mood lighting filled up the whole terminal much like the one in the 787 Dreamliner. The terminal is huge with very high ceilings. The restrooms were like I was in a five-star hotel - very modern and clean and big. There was a nice selection of food and beverages to choose from. The restaurants were not your typical Mcdonalds (no McDonalds at IAH anymore though) or Subway restaurants rather they were the specialty, high-quality local restaurants that made it all the more special. There was also a decent amount of shops to choose from though I felt there too many selling the same things: souveniers, neck pillows, and magazines. What really got the kick out of my Terminal C North experience was the seating. They were not your typical airport seats rather they were leather and very cushioned armchairs and in front of you a table with charging ports and an iPad. Yes, an iPad in every seat! You can do countless things with the tablet to get you occupied such as games, access to the Internet browser, shopping, magazines and you can order food and drinks from it! Very cool and hip experience at Terminal C North and I can't wait to be there again!"
2017-07-01,2017-07-01,1.0,"""a lack of available seating"""," Verified Review | I have connected several times at Charlotte Airport in 2017. At least in Terminals B and E, there is a lack of available seating coupled with a lack of places to charge electronic devices/work while waiting for your next flight. At 9 am, I am currently sitting on the floor between terminals. The bathrooms are also showing their age and the smells are not inviting. The bathroom attendant helps but the problems in the bathrooms go much deeper than an attendant can solve. The carpets in the terminal should be ripped up and replaced with tile or a hard surface. For a city with so many affluent bankers, this airport is not measuring up."
2017-07-02,2017-07-02,5.0,"""TSA is a total joke"""," Unverified |  TSA is a total joke. Every other airport I've been to has automatic belts to carry your belongings through the scanners. These idiots make you push everything straight into the scanner and then get in an unorganized line to pass through the x-ray. If you're unaware you need to push your things, they confiscate them. What other airport does this? Have a question for TSA? Good luck getting it answered. They'll just glare at you and move on. They'll let your ""random"" bag selected for extra screening sit for 10 minutes while they stand around talking. I pray to god I never have to deal with this again. Overall the airport wasn't bad, but those staff in security need to figure something out."
2017-07-07,2017-07-07,2.0,"""Baggage Claim area was abysmal"""," Unverified |  Baggage Claim area was abysmal. Frontier Airlines from COS arrived with info that bags would be on 4. No signs were at Carousel 4, but they were switched to 5. Bags came from 5, but stopped before the last bags came out. Someone noticed a flashing yellow light. No one was in the area to assist. Delta said the problem was Frontier's not theirs and we'd have to go to the ticket counter. The info counter person said she didn't have a phone and couldn't call. She has a phone. Frontier ticket counter said it's not their problem, the carousels belong to the City of Phoenix. City of Phoenix said that the carousel doesn't stop unless there's a jam and that's Frontier's problem. After about 45 minutes of this a Frontier ticket agent went into an elevator and got someone to finally react. Some mysterious guy apparently pushed on the flashing yellow light and the belts started moving. This shouldn't happen at what is claimed to be a Friendly Airport. Someone should be available to assure the carousels are working properly, regardless of which airline is using them. Bad experience."
2017-07-07,2017-07-07,2.0,"""Baggage Claim area was abysmal"""," Unverified |  Baggage Claim area was abysmal. Frontier Airlines from COS arrived with info that bags would be on 4. No signs were at Carousel 4, but they were switched to 5. Bags came from 5, but stopped before the last bags came out. Someone noticed a flashing yellow light. No one was in the area to assist. Delta said the problem was Frontier's not theirs and we'd have to go to the ticket counter. The info counter person said she didn't have a phone and couldn't call. She has a phone. Frontier ticket counter said it's not their problem, the carousels belong to the City of Phoenix. City of Phoenix said that the carousel doesn't stop unless there's a jam and that's Frontier's problem. After about 45 minutes of this a Frontier ticket agent went into an elevator and got someone to finally react. Some mysterious guy apparently pushed on the flashing yellow light and the belts started moving. This shouldn't happen at what is claimed to be a Friendly Airport. Someone should be available to assure the carousels are working properly, regardless of which airline is using them. Bad experience."
2017-07-09,2017-07-09,1.0,"""Very un-productive""", Verified Review |  Long lines to security upon departure and long lines to custom upon arrival. There are ways to address it but nothing done! Very un-productive. Very frustrating! Unhelpful employees. What else can you say? Process should be revisited by their management!
2017-07-09,2017-07-09,1.0,"""A miserable experience"""," Verified Review |  One of the worst airports in the developed world. There was a two-mile long line to get into the airport with no reserved lane for taxis (the cab driver told that it was always like that). There was a 40 minute waiting time for clearing security (even if I went through priority lane, just to find it took some time because it was poorly indicated). The terminal was overcrowded with very little seating. Air conditioning was almost absent. Third rate shopping and eating/drinking. No Wifi. A miserable experience."
2017-07-12,2017-07-12,1.0,"""doesn't appear to have been planned"""," Unverified |  So far I have used 20 airports on 2 continents and Charlotte is the absolute worst. It doesn't appear to have been planned but seems to have grown randomly like a snake firework from the 4th of July. You have to be in pretty good shape to comfortably hike from one point to another with your carry-on, personal item and whatever else in tow. The whole thing should be razed and rebuilt."
2017-07-13,2017-07-13,6.0,"""longest of any airport that I visit"""," Verified Review |  I live in the BWI area and have had many experiences similar to my July 12, 2017 flight from LAS-BWI. The time to retrieve your luggage is consistently the longest of any airport that I visit which is over 50 different airports. The airport itself gets a good rating except in the baggage handling area. The low rating for airport staff is specifically for the baggage handling department."
2017-07-14,2017-07-14,1.0,"""airport has gone downhill fast"""," Verified Review | Charlotte airport has gone downhill fast. I understand they are growing but it is an absolute nightmare to navigate. Every concourse is overcrowded. The air rarely works well. Bathrooms are disgusting and feel like you're in an old gym locker room. Staff are the most discourteous I've experienced and I'm in airports every week. I've been knocked over, pushed, and had my bag knocked off of my arm multiple times trying to get to my gate. It's everything everyone dreads about travel these days."
2017-07-15,2017-07-15,5.0,"""Deeply disappointed"""," Unverified |    I am unhappy with this airport. First of all, the staff at the terminal C Jetblue counter are rude and don't tell you whether or not your bag is overweight. They also seem to not know what gate flights are at. Deeply disappointed, though wifi is good. Unfortunately, I have to fly through Logan once a year."
2017-07-17,2017-07-17,1.0,"""the worst major airport in America"""," Verified Review | If you like having zero options for food (or paying $10 for a cold and stale sandwich), having to go through security to use the bathroom, and being in extremely close proximity to people going through security checks as you connect to your next flight, Kansas City Airport is the place for you. This is easily the worst major airport I've ever been to. There are only two restaurants, and both somehow seemed like 1 and 1A for the title of ""Saddest Place on Earth"". When your best food option is a microwaved sandwich from Starbucks, you know you're in a whole new level of suck. Also, for some odd reason, half of the airport is walled off and is inaccessible to the general populous. Why? Good question. This isn't Westeros. I have heard from locals that the airport provides easy in and out access, which could possibly be true. But the fact that this place hasn't been updated since the 70's is incredible, and the shocking lack of restaurants and cleanly bathrooms make Kansas City International seem like the worst major airport in America."
2017-07-20,2017-07-20,5.0,"""parking/transportation departments are dreadful"""," Verified Review |  As is typical, any effort to park in a lot at DFW is rewarded with frustration. For years now, I have tried to avoid parking here at all costs. Shuttle bus service is erratic, and drivers routinely ignore passengers waiting. Lot attendants are typically rude and standoffish. Unfortunately on my last trip, there was no Uber available at 4am, and I had to drive and park at DFW. When I returned to DFW a week later, the Remote South bus pulled up near the stop, the driver looked at me as I waved, and just continued on. This has happened to me multiple times over the past two years, either in the lot or at the terminal pickup stop. Drivers stare at you, ignore, and roll on by. This time I had to wait another 15 minutes in 100 degree heat with my wife and two young children. DFW may be well run in some areas, but their parking/transportation departments are dreadful. No sense of customer service whatsoever."
2017-07-22,2017-07-22,1.0,"""airport was hot and stuffy""", Unverified |Flight 2863 arrived into Boston from Manchester U.K. I had a connecting flight to Tampa. Had to go through immigration then collect my luggage and walk miles to connecting flight terminal. I was sent to wrong line by the terminal reps who did not know what they were doing they were very unfriendly and not helpful. The airport was hot and stuffy. Long lines and unfriendly personnel. To make matters worst I had to go through airport security second time for same flight. It was the worst experience I've ever had.
2017-07-23,2017-07-23,2.0,"""More delays than anywhere else""", Unverified |  Worst airport in the country. I travel all over and Philadelphia is consistently the worst experience. I have stopped checking bags due to the horrendous wait times for bags. More delays than anywhere else. Sucks it is my home airport. They could invest in the infrastructure but choose not to.
2017-07-24,2017-07-24,10.0,"""open, clean, and inviting"""," Verified Review |  First time going to this airport since 2007 and since then it has completely renovated and added two new terminals to replace the old ones. Terminal 1, dominated by Southwest, is open, clean, and inviting. There were no lines at security, and I went through the TSA line within five minutes. The terminal was easy to navigate, with plenty of open space and updated arrival and departure screens for the various flights. Upon returning home, it was easy to find baggage claim and wait for my ride."
2017-07-24,2017-07-24,1.0,"""woman is still there doing nothing"""," Unverified |  Friday July 21. I arrive at the airport to meet my daughter and her 3-year-old son. Their Spirit flight from Chicago is arriving at least one hour late. I am told the only place to wait for arriving passengers is near baggage claim. There is a woman there, apparently doing nothing, in a kind of uniform wearing a badge reading something like ""passenger assistant"". I ask her where to find an arrivals monitor. She laughs and says: ""there are no such monitors here"". I ask where to find them elsewhere, she says ""there are only departures monitors"". I express my surprise, she keeps laughing and she says ""this is how this airport is right now"". Then I ask her to please find information about Spirit 630, she laughs again and says ""it's impossible"". Then I wander about the airport, finally spotting, on the floor above, an arrivals monitor. The arrival appears to be imminent, so I go downstairs not to miss my daughter. Of course I still don't know whether the plane has landed. The woman is still there doing nothing."
2017-07-24,2017-07-24,3.0,"""no food options available"""," Verified Review |  There are no food options available after 9.30pm except McDonald's and cold prepackaged food. I couldn't even get a beer at the sports pub! When I walked up, he bar tender told me to ""Make it quick!"" Very rude. I left. I tried 3 other places that ""looked"" open and got turned away. After walking back and forth in false pretenses that the next place would be in, I settled for prepackaged hummus and crackers with water. It's pretty pathetic when you can't even get a beer past 9.39pm on a weekend in an International airport! Two thumbs down!"
2017-07-25,2017-07-25,2.0,"""time to update your fountains"""," Unverified |  I travelled from STL at 4.45 on Thursday, 7/20 to DTW, Gate A2. Please note that the temperature outside when we arrived at the airport was 100+. I brought a bottle to refill with water. Both drinking fountains near the gate were inoperable. I walked further down the terminal and came to 4 other drinking fountains. Nothing but a dribble came out. It was hard enough to get a sip of water but was impossible to fill up a bottle. This is ridiculous and leads me to believe you are forcing me to spend $3 on a bottle of water. It is time to update your fountains, first with ones that work and secondly with the bottle fillers that are offered in most 21st century airports. Secondly, the men's room near gate A2 had 4 soap dispensers none of which had any soap. These issues don't reflect the airport or the city of St Louis in a very good light."
2017-07-26,2017-07-26,3.0,"""Dallas-Fort Worth is a zoo""", Verified Review |  Dallas-Fort Worth is a zoo. American dominates it. We sat on the ground for 30 minutes waiting on a gate and almost missed our connection. We came in on B and had a departing flight on C concourse. We followed the signs and found some C gates but only 1 through 5 or something. Reached a dead-end. We had to backtrack 15 or 20 gates and go up one level to the people mover to get to the balance of the C gates.
2017-07-26,2017-07-26,3.0,"""no bathroom facilities for 4 legged friends"""," Unverified |I was a passenger on a Jetblue flight to Boston. The flight was originally scheduled to leave FLL at 4:06 p. m., arriving at Boston Logan shortly after 7:00 p.m. However, inclement weather in the NY/NJ area caused what turned out to be a four hour + delay. Although an inconvenience, I understand that these things happen. Traveling with me was my eight pound Yorkshire Terrier. She travels in a Jetblue crate, and sits under the seat in front of me. She is considered one of my carry ons, and the charge for her is $100.00 each way. What I do not understand, however, is why there is nowhere within the terminal for dogs to relieve themselves? During my delay, I was forced to take my dog outside a total of three times, and go through security a total of three times! I feel this is unacceptable, and, with more and more people flying with dogs/cats, cannot fathom why there is no bathroom facilities provided for our four legged friends. Believe that a ""hydrant"" area has recently opened in terminal one, and feel the same facilities should be provided in each of the FLL terminals."
2017-07-27,2017-07-27,5.0,"""at how bad the floors were""", Verified Review |  Arrived on a Thursday about 12-1 pm and the airport was mobbed. Our luggage carousel had three flights of luggage on it from three different cities. On return trip the airport was deserted at 3 pm. My biggest complaint is the men's restrooms on Concourse D were filthy. Some urinals (perhaps 1/3) were out of service. There was an attendant floating around that did not appear to be doing much to improve the situation. I was appalled at how bad the floors were. Wi-Fi had advertising from a financial brokerage frim and I really did not trust it a lot.
2017-07-29,2017-07-29,1.0,"""everything is horribly delayed""", Unverified |  Avoid this airport at all costs. Every time I come here it is an absolute nightmare. They can never get gates right and everything is horribly delayed. It looks like the Olympics are taking place because everyone is running around like mad to catch gates since everything is late. Will try my best to never come through this airport again.
2017-07-30,2017-07-30,3.0,"""has always been a tough place to get around"""," Verified Review |  Charlotte airport has always been a tough place to get around. You generally always have to go from one end of one terminal to the end of another. Handicapped individuals used to reliably depend on the Club Car to pick them up and take them to their destination. You sat in a designated spot and they would pick you up. However, now probably for some politically correct reason, the Club Cars no longer run. They have been replaced by men and women who will push you in a chair to where you are going. However, the sit and wait in the designated chairs no longer works. I sat for 25 minutes and watched empty chair after empty chair walk by me. Some looked at me, but just walked on by. If the airport was bad before [high priced restaurants and ling distances to walk with intermittent functioning if the skywalks] it is now even crueler."
2017-07-30,2017-07-30,1.0,"""arrival in international was horrendous"""," Verified Review | Arrival in international was horrendous. Herded through long lines and a feeling of chaos. I'm a citizen and have never waited so long for a stamp in any of the dozens of countries I've travelled - except now my own thanks to San Francisco. It was an hour in line, with equally exhausted and upset people. I looked over and saw the visitor line was 4x longer, meaning they stood for 2 or more hours for a stamp. Welcome to America? Not cool! After finally getting stamped, I was at baggage claim for an hour and a half. Some people 2 hours to get their bags, again, first time ever for me. 2.5 with no water or toilet as a single traveler you don't want to leave baggage area thinking your bag is coming out - but 1.5 hours later it finally does. I felt so embarrassed that this chaos is the very first impress for visitors and I missed 2 airport busses myself. I have no idea what inefficiency is going on at international arrivals but it's really, really bad."
2017-08-03,2017-08-03,10.0,Houston IAH customer review," Unverified |  Very good airport, it has a good choice of shops but the airport is quite big so I'd recommend to only do shopping around the gate. The staff there are polite. However the parking lot might be quite dirty and the airport is usually crowded. You usually can find what you want or need at the stores or the supermarket."
2017-08-04,2017-08-04,2.0,"""Very disappointing"""," Unverified |  Very disappointing. The guy at the information desk gave me misinformation - not once, but twice. Wrong information about baggage claim and about airport shuttles. Seemed very bored and disinterested in helping anyone. The American Airlines baggage claim was a mess. Signs giving the baggage claim area for my flight were all wrong. What a mess."
2017-08-04,2017-08-04,1.0,"""service was pitiful""", Unverified |The service at Charlotte airport was pitiful. We arrived from Punta Cana and had a connecting flight to Oregon. We had 3 hours of lay over which you'd think is enough but with the incapacity of the passport control we missed our flight. I can assure you I will never travel through to this airport again.
2017-08-04,2017-08-04,2.0,"""Very disappointing"""," Unverified |  Very disappointing. The guy at the information desk gave me misinformation - not once, but twice. Wrong information about baggage claim and about airport shuttles. Seemed very bored and disinterested in helping anyone. The American Airlines baggage claim was a mess. Signs giving the baggage claim area for my flight were all wrong. What a mess."
2017-08-09,2017-08-09,1.0,"""staff aren't exactly welcoming""", Unverified |Dallas Fort-Worth airport is a joke. The staff aren't exactly welcoming. And the immigration system is long winded. Forget a quick transfer between flights and avoid the airport if you can...it won't make your trip better.
2017-08-09,2017-08-09,4.0,"""a total disaster"""," Verified Review | La Guardia airport is a total disaster. They are under construction so go figure. There is a lot of traffic due to the exterior works. The TSA pre-check was fast. Once in the terminal there are a few restaurants and a couple of stores. Food and beverage prices are a little high, your typical airport prices. The airport crew can be a little nasty and not helpful. They didn't allow me to stay inside the terminal as my flights kept on being canceled and got stranded there for 3 days. The construction means that some areas are closed."
2017-08-09,2017-08-09,3.0,"""There are no signs""", Verified Review |  Arrived into T1 and needed to transfer to international. There are no signs. Our flight had been delayed so we had very little time to get from T1 to international. It was terrible. Huge security queues. No one to ask for help. Walking down endless long corridors between terminals with no signs not knowing if we were right or wrong. No way of jumping the security queue even though we would have missed our flight had we not skipped the 300+ people in security queue.
2017-08-10,2017-08-10,4.0,"""This airport is a total disaster"""," Unverified |  This airport is a total disaster. They are under construction so go figure. There is a lot of traffic due to the exterior color metrication. The TSA pre-check was fast. Once in the terminal there are a few restaurants and a couple of stores. Food and beverage prices are a little high, your typical airport prices. The airport crew can be a little nasty and not helpful. They didn't allow me to start inside the terminal as my flights kept on being canceled and got stranded there for 3 days. The construction means that some areas are closed, and everything feels right."
2017-08-10,2017-08-10,4.0,"""airport is a total disaster"""," Unverified |  This airport is a total disaster. They are under construction so go figure. There is a lot of traffic due to the exterior color metrication. The TSA pre-check was fast. Once in the terminal there are a few restaurants and a couple of stores. Food and beverage prices are a little high, your typical airport prices. The airport crew can be a little nasty and not helpful. They didn't allow me to start inside the terminal as my flights kept on being canceled and got stranded there for 3 days. The construction means that some areas are closed, and everything feels right."
2017-08-12,2017-08-12,3.0,"""avoid this airport"""," Unverified |On August 10, 2017, we arrived at Charlotte airport on a flight from Rome, Italy. We had a 2.5-hour layover for a connecting flight to New Orleans. We have made round trips from the US to Italy for 35 years, and we have never had such a long delay in passing through US Immigration. There were at least 500 people in line, and there were only 7 agents checking passports. There were about 20 passport kiosks for do-it-yourself scan of passport, finger prints, etc. After about an hour, we made it to the Kiosk; then about another 45 minutes to the agent who repeated the same procedure himself that we had already done at the kiosk. The process couldn't have been more confusing and when I finally said something to an airport courtesy worker, she said ""we make no promises"". We barely made our connecting flight. They were closing the door. Many in line were for more than one hour after their connecting flights were due to depart. In short, avoid this airport until changes are made. It is a beautiful facility with worse than poor management and organization in the Passport Control area."
2017-08-13,2017-08-13,1.0,"""complete lack of organization"""," Verified Review | Departing out of Honolulu is similar to using a 3rd world country airport as far as their security is concerned. My flight was to depart at 715 AM, and I arrived at the airport at 515 AM. I used the luggage valet, which meant that they took care of the agriculture screen and checking the bags. (Well worth the tip as a side note, no time spent with checking the bags). I have TSA pre-check and flew first class for this flight. I waited in a security line labelled TSA pre-check, which was approx. 20 yards long. After 10 minute wait, a staff member came to us and told us to move to another area to wait, and assured me that there also was a TSA pre-check. Once I walked 40 yards to get to the new area, one had to enter through a door, and encountered another member of staff. She rudely said ""no separate for pre-check"". The line was long and winding, and since 20-30 showed up more after us, there was now going back to the original line. We did not want this somewhat inefficient experience to ruin our Hawaii vacation, so we patiently waited. After 20 minutes of wait, a group of 20-30 travellers showed up. Since there were so many of them, the security staff decided to open up a new line and let these folks essentially go to the front of the line! The staff said this was being done to move the lines along. What about those of us with Pre-check, who showed up 2 hours earlier, patiently waiting in line? What is maddening the most, is the complete lack of organization. No preferential treatment for people who were waiting in line, no preferential treatment for TSA pre-check, etc. The line is being managed by someone who could care less about customer service or fairness. Really leaves a bad taste upon leaving after a Hawaii vacation. Honolulu Airport authority needs to seriously look at how they run their services at peak times."
2017-08-14,2017-08-14,5.0,"""tons of them doing absolutely nothing"""," Verified Review |  Our arrival was incredibly simple, but we didn't check bags so it was pretty simple. It was the departure that was frustrating. We made it to the airport in good time - about an hour before take-off, made it through the first ID and boarding pass check quickly. Then the security bit. The TSA agents were flat out rude. Not only were they getting frustrated and unnecessarily annoyed with a woman who clearly did not speak English (after they asked her to do something 4 or 5 times and then getting progressively angry with her I finally had to tell them she obviously doesn't understand), but there were tons of them doing absolutely nothing. Both our bags were held because I had saline solution that I knew needed to be tested and my partner forgot he had carried in our water bottle. We and 2 or 3 other folks sat at the end at the security check point for (and this is a rough estimation) about 10-15 minutes before anyone started checking bags, but there were security people sitting around. Talking with each other. Standing around. And all the while our plane is about ready to begin boarding. I was furious. After waiting another 5-10 minutes for our bags to be checked and for my partner to go through security (a second time) with their water bottle we were finally able to make it to our gate. The guy who looked through our bag was nice, but it was like no one knew what their job was that day! Overall I hope I never have to fly out of this airport again. I've never been so annoyed or had this much trouble travelling."
2017-08-15,2017-08-15,2.0,"""disappointing and disheartening"""," Unverified |Departing from Vancouver - departure area disgusting. Food everywhere, spills on seats, armrests and the flooring, can't understand why the upkeep of this place can't be held up to the standard of the international part of the airport. Very disappointing and disheartening."
2017-08-16,2017-08-16,4.0,"""An airport to avoid""", Verified Review |  Facility seems decent but follows the worthless trend of disrespect to smokers. This is one of the airport that force you to leave the terminal area and have to go back through security just to smoke! Airports like this are why when I can even if it takes way longer I rather drive. Thanks a lot Dallas Ft Worth airport! An airport to avoid.
2017-08-18,2017-08-18,10.0,"""well done Denver"""," Verified Review |  Brilliant airport! Easy booking in with BA then easy walk to security. We had access to the priority line and were through in about 15 minutes. A bit disorganised but speedy. The high point was once through security a brief walk down stairs to the train to take us to our departure gate (via the Admiral's lounge or is it Admirals'?). We were not forced to meander through a shopping mall of cheap booze, perfume and cigarettes - well done Denver an example to just about every other airport in the World I think! Boarding was also well handled with well managed queue for First, Business and Economy Class passengers."
